SKU,tipo_ventana,cambios,cambios_signo,max_abs_delta,mediana_abs_delta
50046029,trimestral,19,6,45.253774645365255,3.144793242482189
50077229,mensual,15,6,134.68367647115392,10.40007075714166
50077229,trimestral,14,2,9.757200137269692,2.3343283158358883
50096451,trimestral,14,5,8.205615306573556,3.7665364748478756
50106204,mensual,13,10,23.30286465425383,5.36763333325095
50084493,mensual,13,8,15.88075588861723,2.219780004984093
50050823,trimestral,13,6,13.911046244448364,2.2144880879292907
50106204,trimestral,13,10,3.806129426113454,1.4179838386381989
50046029,mensual,12,5,222.92877675863997,7.4870734298902
50056239,trimestral,12,7,15.187846532696566,3.629843883004613
50065845,semestral,12,2,8.210010769819544,2.7418845584334686
50062268,trimestral,11,3,5534.824262944738,3.7903728334816713
50066990,trimestral,11,4,15.855245748151956,3.856937697299183
50050823,semestral,11,6,13.797625946901592,2.8759686033974976
50046029,semestral,11,4,10.050986011852416,2.2529464590348645
50073101,semestral,11,7,7.156751533750876,1.5579758210105834
50065845,trimestral,11,2,7.120753228742268,2.328673396246604
50062267,trimestral,10,4,25.58930733387312,4.73716131206583
50084493,trimestral,10,8,12.216819032169994,0.9395387690119019
50073101,trimestral,10,3,7.589438363631605,3.012653161730994
50046028,semestral,10,4,5.759088384012852,3.3689021884547845
50062025,trimestral,9,5,12.474379916132818,3.306242955312205
50046030,trimestral,9,4,11.667263440175462,1.2137789861451085
50066990,semestral,9,5,8.195357359682495,2.0671093915761958
50046028,trimestral,9,4,5.319857191898699,1.719288172781312
50063368,semestral,8,5,25.380932093406795,2.022716877431959
50062268,semestral,7,5,4478.808459461197,2.291628575846401
50062269,trimestral,7,3,4197.307066858445,4.467905756149541
50063368,trimestral,7,5,35.4675286245554,3.237829531493553
50062267,mensual,7,4,23.69298202710899,9.118406855781316
50062025,semestral,7,3,11.516384461810372,2.1263522833851267
50056239,mensual,7,7,6.369805542893612,5.069531717411079
50086321,trimestral,7,4,6.119510195405645,3.4116763210882706
50062267,semestral,7,4,4.787754754621208,1.1513877157868944
50062268,mensual,6,5,2721.6564562259955,6.350291237770284
50062025,mensual,6,3,17.39008885467636,5.204371582707748
50046030,semestral,6,2,11.93770186106177,2.1363641779366533
50033183,trimestral,6,3,5.579450298779476,2.9335384223812317
50028915,trimestral,6,4,4.702797118394184,1.8368068977833178
50056239,semestral,6,5,3.89229332260119,0.6745700171113865
50062269,mensual,5,3,1490.6372875928118,5.0856994830291695
50063368,mensual,5,2,21.016630243354022,7.383634117998523
50046028,mensual,5,2,10.80337329114085,5.787452137653797
50062269,semestral,5,3,5.305937827011946,2.024174716479142
50096451,semestral,5,3,5.291348874762722,4.002374473884509
50077229,semestral,5,2,4.220059650851711,1.9931907412114465
50106204,semestral,5,3,2.1981753155973798,0.7799139675595934
50028915,semestral,5,5,0.7833603546939385,0.3421953036705874
50065845,mensual,4,4,30.29696033066837,19.19200820021718
50066990,mensual,4,3,19.284424648987947,10.837316170515312
50096451,mensual,4,4,13.919206230951342,11.003708479096812
50086321,mensual,4,3,11.084395825640344,7.392572580258939
50033183,semestral,4,3,3.4174371272966484,1.502712125220453
50073101,mensual,3,3,7.46690439599401,6.52292764753954
50050823,mensual,3,0,6.027721980687719,1.746639356165692
50086321,semestral,3,2,5.632455176757369,2.4515983971257738
50033183,mensual,3,1,5.251280128673236,4.13064657381191
50084493,semestral,2,2,0.3678233008217441,0.22237144303855327
50046030,mensual,1,0,2.2067740096117525,2.2067740096117525
