archivo_origen,mes_carpeta,extension,tipo_error,detalle,requiere_revision_manual
Promociones\JULIO\9486_Compras y max - ACTUALIZACIÓN DE PRECIOS OFICINA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9487_PAPELERIA_JULIO 2024 CUARTA SEMANA (1).doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9488_Compras y max - ACTUALIZACIÓN DE PRECIOS OFICINA V2.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9489_Compras y max - REEXHIBICION DE BOLSA BTS-.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9490_AMPLIACIÓN DE VIGENCIA MECÁNICAS PAPELERÍA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9491_Compras y max - LLEGADA NUEVO PRODUCTO SET DE ENGRAPADORA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9492_Compras y max - Actualiozacion de precios muebles Jul 2024.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9493_Compras y max - DESCUENTO ULT PZAS MG 24072024- (1).doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9494_PAPELERIA_JULIO 2024 _2.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9495_RE ETIQUETADO DE PRODUCTOS STUK.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9496_NUEVO ORGANIGRAMA MERCANCÍAS GENERALES.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9497_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 30.07.24.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9498_RECOLECCIÓN DE LISTAS ESCOLARES 2024.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9499_PAPELERIA_Agosto 2024.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9500_VISITA A TIENDAS PARA CONTROL DE DAÑOS PRODUCTOS TAKTER.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9501_FINES DE SEMANA 15_ SILLAS Y ESCRITORIOS SELECCIONADOS- MUEBLES.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9502_Compras y max - ACTUALIZACIÓN DE PRECIO NOTAS FLECHA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9380_Calendario de Promotoría 2024.pdf,JUNIO,.pdf,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9383_Boletín Compras y Max ACTUALIZACION DE CABECERA MIQUEL RIUS BTS.pdf,JUNIO,.pdf,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9386_COMPRAS Y MAX CANCELACIÓN DE MECANICAS PAPELERÍA.pdf,JUNIO,.pdf,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9392_COMPRAS Y MAX - PROMOCION VENTA NOCTURNA JUNIO.pdf,JUNIO,.pdf,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9393_Compras y max - ANIVERSARIO 30_ EN PRODUCTOS SELECCIONADOS 3M.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9394_Compras y max - ACTUALIZACIÓN DE PRECIOS NUEVOS PRODUCTOS NAVITEK.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9395_PROMOTORÍA EN TIENDAS FABER CASTELL.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JUNIO\9396_PAPELERIA_JUNIO_2024.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9397_COMPRAS Y MAX PROMOCIONES PAPELERIA.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JUNIO\9398_Compras y max - 30_ EN SUMINISTROS DE OFICINA SELECCIONADOS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JUNIO\9399_Compras y max - ACTUALIZACIÓN DE PRECIO CINTA EMPAQUE OMX.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9400_3x2 EN CAJAS PLÁSTICAS - JUNIO.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9401_Compras y max - CINTA EMPAQUE OMX DE $179 A $119.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JUNIO\9403_COMPRAS Y MAX - HASTA 30_ DE DESC EN MUEBLES DE OFICINAS SELECCIONADOS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9404_Boletín Compras y Max ACTUALIZACION DE PLANOGRAMA CUADERNOS.docx,JUNIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9405_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 19.06.24.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9406_Boletín Compras y Max (Actualización de Fourway 5 BTS 2024).docx,JUNIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9407_PAPELERIA MAXOUTLET_JUNIO 2024 (1).doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9408_COMPRAS Y MAX - ACTUALIZACIÓN DE ETIQUETAS TECNOLOGÍA.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JUNIO\9409_40_ DE DESCUENTO EN ORGANIZACIÓN - MEC 14036 (1).doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9410_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 20.06.24.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9411_Compras y max - HASTA 20_ EN PEGAMENTOS HENKEL SELECCIONADOS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JUNIO\9412_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 24.06.24.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9413_Boletín Compras y Max ACTUALIZACION DE PLANOGRAMA BOTES DE BASURA.docx,JUNIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9414_WOW QUINCENAL – 2X1 EN CAJA PLÁSTICA DE 3 LTS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9415_40_ DE DESCUENTO EN ORGANIZACIÓN- MEC 14042.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9416_Compras y max - ACTUALIZACIÓN DE PRECIO TAPETE PARA CORTE.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9417_Compras y Max - DOBLE EXHIBICIÓN PRODUCTOS LM.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9418_Compras y max - HASTA 30_ EN PRODUCTOS DE OFICINA SELECCIONADOS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JUNIO\9419_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 25.06.24.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9420_Boletín Compras y Max Actualización del planograma de Porta Retratos.docx,JUNIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9421_Boletín Compras y Max ubicacion de Exhibidor de Agendas Escolares.docx,JUNIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9422_40_ DE DESCUENTO EN ORGANIZACIÓN- MEC 14046.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9423_Compras y max - PRECIOS MUEBLES NUEVOS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9424_Boletín Compras y Max (Actualización de tiras de Impulso BTS 2024).docx,JUNIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JUNIO\9425_Compras y max - FINES DE SEMANA 15_ SILLAS Y ESCRITORIOS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
"Promociones\JUNIO\9426_Compras y max - FINES DE SEMANA - 03, 06, 09, 12 Y 13 MSI EN SILLAS Y ESCRITORIOS..doc",JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9427_Compras y max - ACTUALIZACIÓN DE PRECIOS CINTAS DE EMPAQUE.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9428_Compras y max - LIBROS NUEVOS 40 TIENDAS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9429_Compras y max - ACTUALIZACIÓN PRECIOS DE VENTA 3M.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9430_PAPELERIA_JULIO 2024_A.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9431_Datos_ Listas Escolares_REGRESO A CLASES.docx,JUNIO,.docx,advertencia,sin SKU detectable,SI
"Promociones\JUNIO\9431_Vete de vacaciones, surte tu lista escolar y obtén un 15_ de descuentos en artículos escolares participantes.doc",JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9432_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 28.06.24.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9433_30_ DE DESCUENTO EN CAJAS PLASTICAS.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9434_40_ DE DESCUENTO EN ARTICULOS DE ESCRITORIO.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JUNIO\9435_40_ DE DESCUENTO EN ORGANIZACIÓN- MEC 14036- ACT.doc,JUNIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9607_Boletín Compras y Max MERCADEO EXHIBIDOR ROEL.docx,OCTUBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\OCTUBRE\9608_Boletín Compras y Max ACTUALIZACION LISTADO DE PRODUCTOS EN CHECK OUT.docx,OCTUBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\OCTUBRE\9609_HASTA 30_ DE DESCUENTO EN MUEBLES PARTICIPANTES- OCT- MEC 14298.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9610_Compras y max - promociones checkout 09 oct.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9611_Compras y max - acc de escritorio y cajas 09 oct.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9612_Boletín Compras y Max IMPLEMENTACIÓN DE CABECERA LAPTOP ÚLTIMAS PIEZAS.docx,OCTUBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\OCTUBRE\9613_COMPRAS Y MAX PELUCHES TY OCTUBRE.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9614_Boletín Compras y Max CAMBIO EN EXHIBICIÓN DE CABECERA MIQUEL RIUS.docx,OCTUBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\OCTUBRE\9615_Compras y Max - REGALO DE PERAFORADORA EN COMPRA DE CARPETAS2.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9616_EXHIBICIÓN MUEBLES- 2da QUINCENA OCTUBRE.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9617_COMPRAS Y MAX - BONOS HASTA $2500 EN EQUIPOS Y ACCESORIOS DE CÓMPUTO HP SELECCIONADOS.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9618_Compras y Max - ACTUALIZACIÓN PRODUCTO ADOPTADO 17.10.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9619_Compras y max_MODIFICACION DE VIGENCIA EN MECANICAS.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\OCTUBRE\9620_Compras y max - PROMOCION PAYCLIP Y CAJA DE PAPEL ECO.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9621_Compras y max comunicado cambio de precio navidad.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9622_Compras y max - DESCUENTOS EN PAPELERÍA OCTUBRE.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\OCTUBRE\9624_Boletín Compras y Max GUIA DE EXHIBICIÓN MESAS DE TECNOLOGIA.docx,OCTUBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\OCTUBRE\9625_Boletín Compras y Max SUSTITUCIÓN DE CABECERA REGISTRADORES POR AGENDAS.docx,OCTUBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\OCTUBRE\9628_Boletín Compras y Max EXHIBICIÓN BOLSAS GRAND MARK.docx,OCTUBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\OCTUBRE\9629_COMPRAS Y MAX - VENTA NOCTURNA OCTUBRE 2024.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9630_Compras y max - ACTUALIZACIÓN PRECIO.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\OCTUBRE\9631_Compras y Max - AMPLIACIÓN DE MECANICAS.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\OCTUBRE\9632_Compras y max - 2x1 lentes 31 oct.doc,OCTUBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9570_Compras y max - DESC CATEGORIAS VARIAS AL 30 SEP.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9571_Compras y max - DESCUENTO CAJA PLASTICA 1-15 SEP.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9572_COMPRAS Y MAX - MECANICAS TECNOLOGÍA 03.09.24.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9573_COMPRAS Y MAX - ARTES ERRONEAS KOBLENZ 06.09.24.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\SEPTIEMBRE\9574_Promociones PAPELERIA_Septiembre 2DA SEMANA.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9575_Compras y max - ARTICULOS NVOS OCT.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9576_HASTA 30_ DE DESCUENTO EN MUEBLES- MECANICA- ACTUALIZADO 06.09.24.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9577_ACTUALIZACIÓN PRECIO DE VENTA MUEBLES SEPTIEMBRE 2024.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9578_FINES DE SEMANA 15_ SILLAS Y ESCRITORIOS SELECCIONADOS- MUEBLES- SEPTIEMBRE 2024- ACTUALIZADO 05.08.24.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9579_Compras y max - ENERGIZER 10-20 SEPTIEMBRE.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9580_Compras y max - HASTA 50_ EN SELECCIONADOS DE OFICINA.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\SEPTIEMBRE\9581_COMPRAS Y MAX HASTA 30_ Muebles Sept.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9582_Compras y max - HASTA 70_ OFF LENTES AL 31 DIC (1).doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9583_COMPRAS Y MAX maxwow Silla Bursa.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9584_COMPRAS Y MAX maxwow Escritorio Tarento.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9585_Compras y Max - SEÑALIZACIÓN MAX VALUE PROMOCIÓN KIT DE OFICINA.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\SEPTIEMBRE\9586_Compras y max - DESTRUCCION SKUS NACIMIENTOS-.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9587_COMPRAS Y MAX 15_ en sillas y escritorios 16 y 17 de sept.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9588_Compras y max - DESCUENTOS 11 al 20 sep.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9589_PROMOCIONES SEPTIEMBRE PAPEL.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\SEPTIEMBRE\9590_CONTEO SKUS SOWFARE MICROSOFT.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\SEPTIEMBRE\9591_COMPRAS Y MAX HASTA 30_ DESC SEPTIEMBRE MUEBLES.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9592_Compras y Max - ACTUALIZACIÓN PRODUCTO ADOPTADO.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9593_Compras y Max - AMPLIACIÓN VIGENCIA MECANICAS IMPORTADOS.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\SEPTIEMBRE\9594_Compras y max - ACTUALIZACIÓN PRECIO CINTA DOBLE CARA NAVITEK.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\SEPTIEMBRE\9595_Boletín Compras y Max (Liberación Guía BTB II SEPT-OCT 2024).docx,SEPTIEMBRE,.docx,advertencia,sin SKU detectable,SI
Promociones\SEPTIEMBRE\9596_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 13.09.24.doc,SEPTIEMBRE,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
