prod_nbr,marca_fabricante,tipo_marca,prod_nm,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,mess_unit,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
844748,SN,Marca Externa,PALETA PAYASO 45GRS,41,,4116,NON SEASONAL CANDY,411600,,2849,PRODUCTOS RICOLINO,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50014783,DANPEX,Marca Externa,PROFOLIO CONVENCIONES NEGRO,4,CARPETAS,409,PADFOLIOS Y TARJETEROS,40901,PADFOLIOS Y PORTABLOCKS,10223,INDUSTRIAS DANPEX,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50020491,AVERY,Marca Externa,"ETIQUETA ADH CIR NJA 3/4"" 1008",3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30301,ETIQUETAS ADHESIVAS,12056,GRUPO COMERCIAL DI LEON,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029818,,Marca Externa,COPIAS BN CARTA 1-100,50,COPYMAX,5001,COPIAS BLANCO Y NEGRO,500102,COPIAS RAPIDAS CARTA,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029879,,Marca Externa,IMP. BN OFICIO 251-500 .,50,COPYMAX,5004,IMPRESIONES DIGITALES BN,500402,IMPRESIONES DIG. OFICIO,SIN PROVEEDOR,SIN PROVEEDOR,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029947,,Marca Externa,ENGARG.MET.PLAS. OF 181,50,COPYMAX,5008,ENGARGOLADOS  OFICIO,500801,ENGARG. MET.PLAS. OFICIO,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50045871,,Marca Externa,CART. ASTROPARCHE AMA 200G,50,COPYMAX,5006,PAPELES ESPECIALES,500604,CARTULINAS FINAS Y TEXTUR,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50060614,ALFRA,Marca Externa,PINTARRON IGLU 30X40,11,ARTE Y DISENO,1101,PIZARRONES Y ACCESORIOS,110101,PIZARRONES BLANCOS,10188,PINTARRON ALFRA,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50060923,,Marca Externa,HOJA BOND ECO CTA.,50,COPYMAX,5017,SERVICIOS VARIOS PROMO,501702,SERVICIO ECOLOGICO,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50061986,OFFICEMAX,Marca Propia,CARPETA PRES C/10 MICAS BC OMX,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50065897,OFFICEMAX,Marca Propia,PERFORADORA SENCILLA TRIPLE,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90802,PERFORADORA DE 3 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50070561,,Marca Externa,IMPRESIONES B/N T/CARTA,50,COPYMAX,5004,IMPRESIONES DIGITALES BN,500401,IMPRESIONES DIG. CARTA,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50072928,OFFICEMAX,Marca Propia,CINTA EMP OMX TRANS 48X150 2PZS,7,CORREO Y PAQUETERIA,701,CINTAS DE EMPAQUE,70101,CINTA DE EMPAQUE,10155,JANEL,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50076356,OFFICEMAX,Marca Externa,MICA RIGIDA CARTAY,4,CARPETAS,405,ENMICADO Y ENGARGOLADO,40501,ENMICADO,12160,QUANTUM GRAPHICS,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50080666,,Marca Externa,SELLO PR1060 AZUL,50,COPYMAX,5018,SELLOS,501803,SELLOS INSTANTANEOS,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50082220,,Marca Externa,MANTECADAS VAINILLA 4PZ,18,CHECKOUT,1803,COFFEE BREAK,180302,GALLETAS Y PAN,11891,BIMBO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50084290,BIC,Marca Externa,PLUMONES VISA XL ESTUCHE 12PZS,10,ARTICULOS ESCOLARES,1009,PLUMONES,100901,PLUMONES,10234,NO SABE FALLAR,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50089324,,Marca Externa,TIEMPO AIRE NEXTEL $50.00,22,TIEMPO AIRE ELECTRONICO,2201,TIEMPO AIRE ELECTRONICO,220105,TIEMPO AIRE NEXTEL,12169,XCD DESARROLLADORA,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50110377,,Marca Externa,PILA DE CARBON TAMANO AAA,18,CHECKOUT,1806,PILAS,180602,PILAS ESPECIALES,12056,GRUPO COMERCIAL DI LEON,ST,EE,No EcolÂ¾gico,Tienda Igual Retail,Activa
50112147,CLIP,Marca Externa,TERMINAL P TARJETAS CLIP TOTAL,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20204,TERMINAL PORTATIL,12333,PAYCLIP,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50121587,SN,Marca Externa,CINTA MUDANZA SCOTCH 48X20 3M DESP,7,CORREO Y PAQUETERIA,701,CINTAS DE EMPAQUE,70101,CINTA DE EMPAQUE,11496,"3M MEXICO,",ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50121633,,Marca Externa,SENAL RIESGO ELECTRICO 28X20CM,12,SEGURIDAD Y MANTENIMIENTO,1203,LETREROS Y SENALAMIENTOS,120301,LETREROS Y SENALAMIENTOS,SIN PROVEEDOR,SIN PROVEEDOR,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
50121732,SN,Marca Externa,TIEMPO AIRE NEXTEL 30.00,22,TIEMPO AIRE ELECTRONICO,2201,TIEMPO AIRE ELECTRONICO,220105,TIEMPO AIRE NEXTEL,12169,XCD DESARROLLADORA,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50124815,HP,Marca Externa,IMPRESORA HP SMART TANK 210,15,IMPRESION,1502,EQUIPOS,150202,IMPRESORAS,11938,COMPUTING AND PRINTING MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50124820,NEWELL,Marca Externa,ROTULADORA LETRATAG DYMO 100H,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,12118,NEWELL BRANDS DE MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50125235,OFFICEMAX,Marca Propia,TABLERO DE CORCHO 40X60 CM STUK,11,ARTE Y DISENO,1101,PIZARRONES Y ACCESORIOS,110102,PIZARRONES DE CORCHO,20533,OFFICE DEPOT ASIA HOLDING,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50125926,,Marca Externa,LIGAS N 12,50,COPYMAX,5026,ACCESORIOS COPYMAX,502601,ACCESORIOS COPYMAX,SIN PROVEEDOR,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50125927,,Marca Externa,CLIP PARA GAFETES,50,COPYMAX,5026,ACCESORIOS COPYMAX,502601,ACCESORIOS COPYMAX,SIN PROVEEDOR,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50128418,REDLEMON,Marca Externa,PRESENTADOR LASER INALAMBRICO DIAPOSITIV,14,COMPUTO,1405,PROYECTORES Y MONITORES,140503,ACCESORIOS PROYECTORES Y MONITORES,13489,TECNOCENT,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50128889,NORITEX,Marca Externa,SET DE 2 PZAS ORGANIZADOR ESCRITORIO RG,8,ACCESORIOS DE ESCRITORIO,804,SET DE ESCRITORIO,80401,SET DE ESCRITORIO,28732,NORITEX,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50129107,SN,Marca Propia,MESA DE JUNTAS DANISH,1,MUEBLES,106,MESAS,10601,MESA DE JUNTAS,20519,ACTONA COMPANY,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50130831,STEREN,Marca Externa,MICROFONOS RF INALAMBRICOS NEGRO WR810,2,ELECTRONICOS,211,INSTRUMENTOS MUSICALES,21101,MICROFONO,12391,MERCADO LIBRE,ST,EE,No EcolÂ¾gico,No Retail,N/A
50131349,CVA SERVIC,Marca Externa,TV SMART QUARONI NETFLIX 4K 50P Q50N24,2,ELECTRONICOS,206,TV Y VIDEO,20603,TELEVISIONES,12511,CVA SERVICIOS CORPORATIVOS,ST,M,No EcolÂ¾gico,Tienda Igual Retail,Activa
50132264,STEREN,Marca Externa,STEREN LAMPARA LED EMERGENCIA,2,ELECTRONICOS,210,SMART HOME,21002,SEGURIDAD,13562,ELECTRONICA STEREN,ST,EE,No EcolÂ¾gico,No Retail,N/A
50133981,MICROCLICK,Marca Externa,LIBRERO MINIMALIS TOP LIVING METAL BOOK1,1,MUEBLES,104,LIBREROS Y GABINETES,10401,LIBREROS,12517,MICROCLICK,ST,M,No EcolÂ¾gico,No Retail,N/A
50134712,ACCO,Marca Externa,PINZA PERFORADORA GBC,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90801,PERFORADORA DE 1 ORIFICIO,12012,SERVICIOS COMERCIALES AMAZON MEXICO,ST,EE,No EcolÂ¾gico,No Retail,N/A
50137747,PM STEELE,Marca Externa,ESTANTERIA ANAQUEL ESQUELETO 937EETV,1,MUEBLES,104,LIBREROS Y GABINETES,10401,LIBREROS,12381,PRODUCTOS METALICOS STEELE,ST,EE,No EcolÂ¾gico,No Retail,N/A
90034510,SABRITAS,Marca Externa,SABRITAS SAL 42G,41,,4116,NON SEASONAL CANDY,411600,,11661,"COMERCIALIZADORA PEPSICO,",ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
1077423587,,Marca Externa,MARCOPOLO BAILEYS ALMENDRAS C/CHOCOLATE,BB,FOOD & BEVERAGE,BB3C,FOOD,BB3C0B,,10725,PRODUCTOS MARCO POLO,PZA,,No EcolÂ¾gico,Tienda Igual Retail,Activa
1077429200,,Marca Externa,MARCOPOLO NISHIKAWA ENCHILADO 70G,BB,FOOD & BEVERAGE,BB3C,FOOD,BB3C0B,,10725,PRODUCTOS MARCO POLO,PZA,,No EcolÂ¾gico,Tienda Igual Retail,Activa
50011569,BROTHER,Marca Externa,CINTA P/ROTULADOR BROTHER M931 12MM N/P,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50012953,SCRIBE,Marca Externa,HOJAS P/CARP CT CLASIC BC 100H,10,ARTICULOS ESCOLARES,1015,HOJAS PARA CARPETAS,101501,HOJAS CARPETA CARTA,13564,BIO PAPPEL SCRIBE,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50031388,,Marca Externa,REFRESCO PEPSI LIGHT 600 ML,18,CHECKOUT,1801,BEBIDAS,180103,REFRESCOS,12031,BEBIDAS PURIFICADAS,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50046801,,Marca Externa,TAR NAVIDE#AS 2 A 4,50,COPYMAX,5019,TEMPORADA,501903,CALENDARIOS,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50053295,,Marca Externa,PLUMA CON SELLO TWIN BLANC PZA,50,COPYMAX,5018,SELLOS,501801,SELLOS,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50064510,MIRADO,Marca Externa,LAPIZ MIRADO TRIAN N 2.5 4 PZ,10,ARTICULOS ESCOLARES,1010,LAPICES,101001,LAPICES DE GRAFITO,12107,NEWELL BRANDS DE MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50082331,AZOR,Marca Externa,SACAPUNTAS ELECTRICO PEGASO,10,ARTICULOS ESCOLARES,1018,SACAPUNTAS,101802,SACAPUNTAS ELECTRICOS,11873,GRUPO AZOR MEXICO,ST,ER,No EcolÂ¾gico,Tienda Igual Retail,Activa
50086609,,Marca Externa,IMPRESION OF 1-99 HOJAS,50,COPYMAX,5036,SERVICIO WALMART,503603,IMPRESION B/N,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50086614,,Marca Externa,COPIA A COLOR CTA 1-49,50,COPYMAX,5036,SERVICIO WALMART,503602,COPIAS COLOR,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50086837,,Marca Externa,ENGARGOLADO DC METAL 9/16,50,COPYMAX,5036,SERVICIO WALMART,503606,ENGARGOLADO,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50089311,,Marca Externa,TIEMPO AIRE UNEFON $300.00,22,TIEMPO AIRE ELECTRONICO,2201,TIEMPO AIRE ELECTRONICO,220103,TIEMPO AIRE UNEFON,12169,XCD DESARROLLADORA,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50091045,,Marca Externa,GE COMPUTO 3001-4000 24M,62,GARANTIMAX,6201,COMPUTO,620101,PC,11996,GARANPLUS,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50092988,SIGEL,Marca Externa,HOJAS P/CARPETA ESQUELA 100 C7,10,ARTICULOS ESCOLARES,1015,HOJAS PARA CARPETAS,101502,HOJAS CARPETA ESQUELA,10182,PRODUCTOS DIETRIX,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50113322,STUK,Marca Propia,ARCHIVERO 3 GAVETAS NEGRO,1,MUEBLES,103,ARCHIVEROS,10302,ARCHIVERO 3 GAVETAS,20539,COMERCIALIZADORA CHAROS,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50113813,,Marca Externa,GARENA FREE FIRE 500MXN,23,COMISIONES,2301,TARJETAS,230101,TARJETAS,11479,BLACKHAWK NETWORK MEXICO,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50116061,TRUST,Marca Externa,MICROFONO USB TRUST NEGRO,2,ELECTRONICOS,210,SMART HOME,21005,STREAMING,12370,NUBYE TECHNOLOGIES,ST,N,No EcolÂ¾gico,Tienda Inactiva,Inactiva
50116702,FIRST CLAS,Marca Externa,REGISTRADOR 1STCLASS TC VDE 2P,4,CARPETAS,404,REGISTRADORES,40401,REGISTRADORES VERDES,10182,PRODUCTOS DIETRIX,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50116928,BROTHER,Marca Externa,MULTI BROTHER DCPL2551DW,15,IMPRESION,1502,EQUIPOS,150203,MULTIFUNCIONALES,10523,BROTHER INTERNATIONAL DE MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50119439,OFFICE PRO,Marca Externa,BOCINA CUBO BLUETOOH SPEAKER NE,2,ELECTRONICOS,210,SMART HOME,21001,BOCINAS Y ASISTENTES DE VOZ,11739,OFFICE PRODUCTS AND,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50120292,REDRAGON,Marca Externa,TECLADO MECANICO KUMARA NEGRO:,14,COMPUTO,1403,ACCESORIOS GAMING,140301,PERIFERICOS GAMING,12455,NOBOR,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
50121151,LAZZAR,Marca Externa,CAMISOLA INDUSTRIAL MANGA CORTA M C,12,SEGURIDAD Y MANTENIMIENTO,1206,SALUD E HIGIENE,120602,HIGIENE,12454,LAZZAR,ST,N,No EcolÂ¾gico,No Retail,N/A
50123809,SN,Marca Externa,TAPETE BANO CAFE,1,MUEBLES,104,LIBREROS Y GABINETES,10402,GABINETES,13485,BED BATH & BEYOND MEXICO,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
50123912,ENCANTO,Marca Externa,SMART TV TCL 32 HD 32A341 SMART ANDROID,2,ELECTRONICOS,206,TV Y VIDEO,20603,TELEVISIONES,12018,ENCANTO MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50125431,TCL,Marca Externa,TELEVISOR TCL SMART HD ANDROID,2,ELECTRONICOS,206,TV Y VIDEO,20603,TELEVISIONES,12018,ENCANTO MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50126043,MAPED,Marca Externa,TIJERAS PIXEL PARTY 13CM,9,SUMINISTROS DE OFICINA,906,TIJERAS,90601,TIJERAS OFICINA,10824,MAPED SILCO,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50127647,,Marca Externa,ARCHIVERO 2 GAVETAS CARTA NEGRO,1,MUEBLES,103,ARCHIVEROS,10301,ARCHIVERO 2 GAVETAS,12356,TAM - MEX,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50128099,BIC EVOLUT,Marca Externa,LAPIZ EVOLUTION NO.2 VERDE HEXA 4PZAS+1,10,ARTICULOS ESCOLARES,1010,LAPICES,101001,LAPICES DE GRAFITO,10234,NO SABE FALLAR,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50131070,PARK ROSE,Marca Propia,KIT ENGRAP ROSA CON GRAPAS CATS STUK,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90503,ENGRAPADORAS EN SET,28730,"PARKROSE GROUP, S.L.",ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50133352,GUTSTARK,Marca Externa,LOCKER METALICO 4 PUERTAS 9X34X180 GRIS,1,MUEBLES,104,LIBREROS Y GABINETES,10402,GABINETES,12391,MERCADO LIBRE,ST,EE,No EcolÂ¾gico,Tienda Igual Retail,Activa
50135304,RIU PACKIN,Marca Externa,PLASTICO BURBUJA 60CM X 20M RIU,7,CORREO Y PAQUETERIA,703,ENVIO Y CORREO,70301,BURBUJA,60053,RIU PACKING,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50138703,PIOONER,Marca Externa,PIOONER SMART TV LED PN4375124U 43 PULG,2,ELECTRONICOS,206,TV Y VIDEO,20603,TELEVISIONES,13544,CYBERPUERTA,ST,EE,No EcolÂ¾gico,Tienda Igual Retail,Activa
1068733490,,Marca Externa,MARCOPOLO MILKY WAY 1PC,BB,FOOD & BEVERAGE,BB3C,FOOD,BB3C0B,,10725,PRODUCTOS MARCO POLO,PZA,,No EcolÂ¾gico,Tienda Igual Retail,Activa
1069739134,,Marca Externa,PULPOS,BB,FOOD & BEVERAGE,BB3C,FOOD,BB3C0B,,10725,PRODUCTOS MARCO POLO,PZA,,No EcolÂ¾gico,Tienda Igual Retail,Activa
882783,,Marca Externa,EPURA 1L PET 12 PZ,41,,4116,NON SEASONAL CANDY,411600,,12031,BEBIDAS PURIFICADAS,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50012983,SCRIBE,Marca Externa,BLOCK ENGO ESQ CLASICO RY 50H,10,ARTICULOS ESCOLARES,1020,BLOCKS,102002,BLOCKS ESQUELA,13564,BIO PAPPEL SCRIBE,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50023843,,Marca Externa,CUTTER GRANDE PLASTICO 18MM,7,CORREO Y PAQUETERIA,702,GUILLOTINAS Y CUTTERS,70201,CUTTERS,12318,ACCO MEXICANA,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029834,,Marca Externa,COPIAS BN DOBLE CARTA 501-1000,50,COPYMAX,5001,COPIAS BLANCO Y NEGRO,500104,COPIAS RAPIDAS DOBLE CARTA,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029877,,Marca Externa,IMP.BN OFICIO1001-10000 .,50,COPYMAX,5004,IMPRESIONES DIGITALES BN,500402,IMPRESIONES DIG. OFICIO,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50032949,BIC,Marca Externa,LAPIZ DE GRAFITO CONTE 8PZS,10,ARTICULOS ESCOLARES,1010,LAPICES,101001,LAPICES DE GRAFITO,10234,NO SABE FALLAR,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50044047,,Marca Externa,3 ROMPECABEZAS D CTA 96 PZAS,50,COPYMAX,5025,ROMPECABEZAS,502501,ROMPECABEZAS,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50062115,OFFICEMAX,Marca Propia,TABLA C/CLIP TC ACRIL COL OMX(GRIS/NGO)),4,CARPETAS,406,TABLAS SUJETA DOCUMENTOS,40602,TABLAS DE PLASTICO,20533,OFFICE DEPOT ASIA HOLDING,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50065915,OFFICEMAX,Marca Propia,PORTAGAFETE OMX VERTICAL 12PZ,7,CORREO Y PAQUETERIA,706,GAFETES,70601,GAFETES,20533,OFFICE DEPOT ASIA HOLDING,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50069536,GE,Marca Externa,CABLE HDMI GE 6 FT NEGRO,2,ELECTRONICOS,206,TV Y VIDEO,20601,CABLES Y ACCESORIOS,11578,GRUPO TZIAN,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50070560,,Marca Externa,COPIAS COLOR T/D C,50,COPYMAX,5002,COPIAS A COLOR,500203,COPIAS COLOR DOBLE CARTA,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50073971,,Marca Externa,PLOTER GLOSSY 90 X 50,50,COPYMAX,5015,IMP GRAN FORMATO (PLOTEO),501501,PLOTER COLOR,SIN PROVEEDOR,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50076437,,Marca Externa,ESCRI.12 MES 01 PZ,50,COPYMAX,5009,ENCUADERNADO TERMICOS,500903,ENCUAD.PASTA DURA CARTA,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50084353,JUST PAPER,Marca Externa,HOJAS P/CARP RY 75G JUST PAPER,10,ARTICULOS ESCOLARES,1015,HOJAS PARA CARPETAS,101501,HOJAS CARPETA CARTA,10182,PRODUCTOS DIETRIX,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50086621,,Marca Externa,COPIA A COLOR CTA 500-999,50,COPYMAX,5036,SERVICIO WALMART,503602,COPIAS COLOR,SIN PROVEEDOR,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50088544,SIGEL,Marca Externa,"SENALIZACION ""BANOS HOMBRES""",12,SEGURIDAD Y MANTENIMIENTO,1203,LETREROS Y SENALAMIENTOS,120301,LETREROS Y SENALAMIENTOS,11970,CENTRO DE PRODUCCION,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50093640,,Marca Externa,UNIFLEX NE/S 1-40 HOJAS,50,COPYMAX,5009,ENCUADERNADO TERMICOS,500905,ENCUADERNADO UNIBIND,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50100415,OFFICEMAX,Marca Externa,"ETIQUETA ENVIO ""HACIA ARRIBA""",3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30304,ETIQUETAS ESPECIALES,11906,FORMULARIOS DE MEXICO,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50101032,,Marca Externa,COMISION SERVICIO MEGACABLE,23,COMISIONES,2302,PAGO DE SERVICIOS,230201,PAGO DE SERVICIOS,12169,XCD DESARROLLADORA,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50105495,,Marca Externa,HOJA CARTULINA METALICA BLANCA,50,COPYMAX,5006,PAPELES ESPECIALES,500604,CARTULINAS FINAS Y TEXTUR,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50106074,SIGEL,Marca Propia,PORTAGAFETE C/CORDON SIGEL 1PZ,7,CORREO Y PAQUETERIA,706,GAFETES,70601,GAFETES,20533,OFFICE DEPOT ASIA HOLDING,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50110140,BARRILITO,Marca Externa,ENGRAPADORA MET TIRA COMPLETA,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90502,ENGRAPADORAS TIRA COMPLETA,12318,ACCO MEXICANA,ST,N,No EcolÂ¾gico,No Retail,N/A
50110198,ACCO,Marca Externa,SEPARADOR WJ MULTIDEX 15 DIV,4,CARPETAS,407,SEPARADORES,40701,SEPARADORES PLASTICOS,12175,ACCO MEXICANA,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50113181,,Marca Externa,CUTTER CHICO C/GRIP 09MM,7,CORREO Y PAQUETERIA,702,GUILLOTINAS Y CUTTERS,70201,CUTTERS,12238,SOLUCIONES DE DISTRIBUCION,ST,EE,No EcolÂ¾gico,No Retail,N/A
50114463,MOBICUBE,Marca Externa,ARCHIVERO 2 GAVETAS NEGRO,1,MUEBLES,103,ARCHIVEROS,10301,ARCHIVERO 2 GAVETAS,12356,TAM - MEX,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50114681,SILVERLINE,Marca Externa,CUTTER GRANDE SILVERLINE 18MM,7,CORREO Y PAQUETERIA,702,GUILLOTINAS Y CUTTERS,70201,CUTTERS,11987,D CASTRO IMPORTADORES DE,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50115132,CASIO,Marca Externa,MINI TECLADO CASIO SA-76,2,ELECTRONICOS,211,INSTRUMENTOS MUSICALES,21102,TECLADOS,11712,"CASIO MEXICO MARKETING,",ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50116615,MOBICUBE,Marca Externa,ARCHIVERO PROF NEGRO 4 GAVETAS,1,MUEBLES,103,ARCHIVEROS,10303,ARCHIVERO 4 GAVETAS,12356,TAM - MEX,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50119890,TRUST,Marca Externa,MOUSE ECOLOGICO YVI NEGRO TRUST,14,COMPUTO,1403,ACCESORIOS GAMING,140301,PERIFERICOS GAMING,12370,NUBYE TECHNOLOGIES,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50121150,LAZZAR,Marca Externa,CAMISOLA INDUSTRIAL MANGA CORTA CH C,12,SEGURIDAD Y MANTENIMIENTO,1206,SALUD E HIGIENE,120602,HIGIENE,12454,LAZZAR,ST,N,No EcolÂ¾gico,No Retail,N/A
50121361,MCC56,Marca Externa,CALCULADORA CIENTIFICA 10DIG MAE MCC56,2,ELECTRONICOS,201,CALCULADORAS,20102,CALCULADORAS CIENTIFICAS,12238,SOLUCIONES DE DISTRIBUCION,ST,EE,No EcolÂ¾gico,Tienda Igual Retail,Activa
50121636,,Marca Externa,SENAL ALTO 40X30CM,12,SEGURIDAD Y MANTENIMIENTO,1203,LETREROS Y SENALAMIENTOS,120301,LETREROS Y SENALAMIENTOS,SIN PROVEEDOR,SIN PROVEEDOR,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
50124149,,Marca Externa,IMPRESION TABLA DE NUMEROS T.C,50,COPYMAX,5019,TEMPORADA,501905,BACK TO SCHOOL,SIN PROVEEDOR,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50128293,ONIX,Marca Externa,LAPICEROS CON PUNTILLAS ONIX,10,ARTICULOS ESCOLARES,1014,LAPICEROS,101402,PUNTILLAS,12347,SAC DESIGNS,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
50128316,CIRCULO 27,Marca Externa,50 CAJAS AUTOARMABLES 20X11X6,3,ARCHIVO Y ACCESORIOS,302,CAJAS,30202,CAJAS DE ENVIO,13518,CIRCULO 27,ST,M,No EcolÂ¾gico,No Retail,N/A
