store_nbr,store_nm,tran_date,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
T001,San Jeronimo,2024-08-14,RETAIL,10,ARTICULOS ESCOLARES,1006,MOCHILAS,100602,MOCHILAS UNIVERSITARIAS,12456,CHENSON NYLON DE MEXICO,10060203,50128001,CHENSON,Marca Externa,1,602.84,699.3,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T009,Coyoacan,2024-05-25,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1201,FERRETERIA,120101,HERRAMIENTAS,11987,D CASTRO IMPORTADORES DE,12010101,50095715,SILVERLINE,Marca Externa,1,50.86,59,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda,2024-06-10,RETAIL,18,CHECKOUT,1803,COFFEE BREAK,180302,GALLETAS Y PAN,11891,BIMBO,18030201,50082227,,Marca Externa,1,29,29,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T048,Tlaquepaque,2025-01-04,RETAIL,50,COPYMAX,5018,SELLOS,501803,SELLOS INSTANTANEOS,10295,SIN PROVEEDOR,50180301,50029377,,Marca Externa,1,262.93,305,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T010,Cancun,2024-08-14,RETAIL,17,LIBROS,1702,INFANTILES,170201,LIBROS INFANTILES,10865,EDICIONES LAROUSSE,17020102,50096732,OFFICEMAX,Marca Propia,1,169,169,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T002,Interlomas,2024-03-06,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,20533,OFFICE DEPOT ASIA HOLDING,10200101,50063593,VIRTUO,Marca Externa,1,116.38,135,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
T022,Roma,2026-02-08,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30603,TARJETAS RAYA Y CUADRO,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060301,50029457,OXFORD,Marca Externa,1,30.09,34.9,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T008,Guadalajara,2025-10-02,RETAIL,18,CHECKOUT,1806,PILAS,180601,PILAS ALCALINAS,11928,ENERGIZER MEXICO,18060101,50102450,ENERGIZER,Marca Externa,1,171.55,199,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T028,San Luis Potosi,2025-02-21,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027266,ESTRELLA,Marca Externa,7,1105.52,1282.4,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T063,Aguascalientes,2025-11-16,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90902,CINTAS DE MONTAJE,11496,"3M MEXICO,",9090201,50090628,SCOTCH,Marca Externa,1,300.86,349,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T061,Mexicali,2024-07-07,RETAIL,18,CHECKOUT,1803,COFFEE BREAK,180302,GALLETAS Y PAN,11891,BIMBO,18030201,50082228,,Marca Externa,1,26.1,26.1,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T064,San Jose del Cabo,2024-06-04,RETAIL,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,2020101,50011573,BROTHER,Marca Externa,2,526.56,610.8,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T010,Cancun,2025-09-10,RETAIL,14,COMPUTO,1401,COMPUTADORAS Y TABLETS,140101,COMPUTADORAS PORTATILES,11718,EXEL DEL NORTE,14010101,50134629,,Marca Externa,1,8619.83,9999,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T001,San Jeronimo,2025-10-31,RETAIL,7,CORREO Y PAQUETERIA,703,ENVIO Y CORREO,70301,BURBUJA,11496,"3M MEXICO,",7030101,50121589,SN,Marca Externa,1,231.9,269,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T044,Pachuca,2026-01-07,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027261,ESTRELLA,Marca Externa,1,180.17,209,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T033,Gonzalitos,2025-09-03,RETAIL,4,CARPETAS,404,REGISTRADORES,40402,REGISTRADORES DE COLOR,12232,KYMA CA,4040201,50083953,OFFICEMAX,Marca Propia,1,54.22,62.9,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T026,San Pedro,2025-10-07,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027262,ESTRELLA,Marca Externa,2,291.38,338,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T005,San Agustin,2025-06-30,RETAIL,2,ELECTRONICOS,204,ACCESORIOS DE ELECTRONICA,20401,ACCESORIOS DE CARGA,28751,Ice Group LLC DBA Country Club,2040101,50130567,TECH UP,Marca Externa,1,156.34,181.35,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T046,Ensenada,2025-08-16,RETAIL,10,ARTICULOS ESCOLARES,1006,MOCHILAS,100602,MOCHILAS UNIVERSITARIAS,20503,NINGBO EVEREXCEL INT'L TRADING,10060201,50113658,OFFICEMAX,Marca Propia,1,137.96,149,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T058,Mazatlan,2024-09-06,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1204,MANEJO DE VALORES,120402,CAJAS DE DINERO,20533,OFFICE DEPOT ASIA HOLDING,12040201,50062002,OFFICEMAX,Marca Propia,1,430.17,499,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T009,Coyoacan,2026-04-08,RETAIL,18,CHECKOUT,1806,PILAS,180601,PILAS ALCALINAS,11928,ENERGIZER MEXICO,18060101,50025466,ENERGIZER,Marca Externa,1,98.97,114.8,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T001,San Jeronimo,2024-01-06,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027259,ESTRELLA,Marca Externa,1,131.9,153,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T035,Gran Plaza,2025-04-05,RETAIL,11,ARTE Y DISENO,1101,PIZARRONES Y ACCESORIOS,110103,ROTAFOLIOS,10188,PINTARRON ALFRA,11010301,50094254,ALFRA,Marca Externa,4,9982.76,11580,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T037,Morelia,2024-06-11,RETAIL,50,COPYMAX,5005,IMPRESIONES DIG. COLOR,500501,IMP. DIGITAL CARTA COLOR,10295,SIN PROVEEDOR,50050102,50029891,,Marca Externa,436,5600.31,6496.4,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T046,Ensenada,2024-05-10,RETAIL,50,COPYMAX,5005,IMPRESIONES DIG. COLOR,500503,IMP. DIGITAL DCARTA COLOR,10295,SIN PROVEEDOR,50050302,50029905,,Marca Externa,25,437.36,472.36,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T016,Puebla,2025-02-20,RETAIL,2,ELECTRONICOS,201,CALCULADORAS,20103,CALCULADORAS ESCRITORIO,11712,"CASIO MEXICO MARKETING,",2010301,50122318,CASIO,Marca Externa,2,446.56,518,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
T012,Leon,2024-02-08,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027260,ESTRELLA,Marca Externa,1,131.9,153,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda,2024-12-13,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1204,MANEJO DE VALORES,120402,CAJAS DE DINERO,20539,COLLINS CO.,12040201,50098146,OFFICEMAX,Marca Propia,1,2585.34,2999,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
T017,Queretaro,2024-02-03,RETAIL,7,CORREO Y PAQUETERIA,705,COJINES Y SELLOS,70502,COJINES,10797,GRUPO AZOR MEXICO,7050201,50012368,AZOR,Marca Externa,1,60.26,69.9,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T025,Merida,2025-11-14,RETAIL,1,MUEBLES,104,LIBREROS Y GABINETES,10402,GABINETES,12356,TAM - MEX,1040201,50114462,MOBICUBE,Marca Externa,2,10343.1,11998,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T079,Juriquilla Express,2024-06-26,RETAIL,6,PAPEL,602,ROLLOS DE PAPEL,60201,ROLLO TERMICO,11906,FORMULARIOS DE MEXICO,6020101,50050823,OFFICEMAX,Marca Propia,2,687.94,798,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T039,Alamedas,2025-09-08,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027259,BIO PAPPEL,Marca Externa,1,137.07,159,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T061,Mexicali,2025-12-19,RETAIL,7,CORREO Y PAQUETERIA,705,COJINES Y SELLOS,70503,SELLOS,10797,GRUPO AZOR MEXICO,7050301,50111576,AZOR,Marca Externa,1,162.04,175,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T038,Tabasco,2024-02-10,RETAIL,50,COPYMAX,5010,ENMICADOS,501001,ENMICADOS,10295,SIN PROVEEDOR,50100102,50029959,,Marca Externa,2,27.58,32,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T018,Polanco II,2024-11-11,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30603,TARJETAS RAYA Y CUADRO,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060301,50029456,OXFORD,Marca Externa,4,227.24,263.6,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz,2026-01-23,RETAIL,4,CARPETAS,404,REGISTRADORES,40401,REGISTRADORES VERDES,10797,GRUPO AZOR MEXICO,4040101,50061645,LEFORT,Marca Externa,1,59.48,69,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T052,Hermosillo,2024-10-22,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90803,PERFORADORAS DE 2 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,9080301,50065898,OFFICEMAX,Marca Propia,1,68.54,79.5,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T066,Jurica Queretaro,2024-06-25,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40803,CUBIERTAS PLASTIFICADAS,20533,OFFICE DEPOT ASIA HOLDING,4080301,50062257,OFFICEMAX,Marca Propia,1,86.12,99.9,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T019,Cuauhtemoc,2025-11-26,RETAIL,14,COMPUTO,1403,ACCESORIOS GAMING,140301,PERIFERICOS GAMING,12370,NUBYE TECHNOLOGIES,14030102,50119892,TRUST,Marca Externa,1,240.52,279,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T058,Mazatlan,2025-09-13,RETAIL,17,LIBROS,1702,INFANTILES,170201,LIBROS INFANTILES,10393,CORPORACION GAIRET,17020102,50133008,,Marca Externa,1,135,135,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T052,Hermosillo,2024-04-22,RETAIL,2,ELECTRONICOS,208,AUDIFONOS,20802,AUDIFONOS ON/OVER  EAR,20533,OFFICE DEPOT ASIA HOLDING,2080201,50118047,STUK,Marca Propia,1,171.55,199,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T031,San Marcos,2026-02-12,RETAIL,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,2020101,50011575,BROTHER,Marca Externa,2,550,638,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T019,Cuauhtemoc,2024-06-02,RETAIL,4,CARPETAS,409,PADFOLIOS Y TARJETEROS,40902,TARJETEROS,20533,OFFICE DEPOT ASIA HOLDING,4090201,50062273,OFFICEMAX,Marca Propia,1,145.69,169,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T057,Reynosa,2024-12-02,RETAIL,23,COMISIONES,2302,PAGO DE SERVICIOS,230201,PAGO DE SERVICIOS,12169,XCD DESARROLLADORA,23020101,50109581,,Marca Externa,1,0,0,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T030,Donceles Express,2025-09-15,RETAIL,7,CORREO Y PAQUETERIA,704,FOLIADORES,70403,CONTADORES,12175,ACCO MEXICANA,7040301,50042623,BARRILITO,Marca Externa,1,176.72,205,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz,2025-01-22,RETAIL,10,ARTICULOS ESCOLARES,1006,MOCHILAS,100602,MOCHILAS UNIVERSITARIAS,20533,OFFICE DEPOT ASIA HOLDING,10060203,50125289,OFFICEMAX,Marca Propia,1,154.31,179,ST,T,EcolÂ¾gico,Tienda Igual Retail,Activa
T011,Xalapa,2024-02-08,RETAIL,10,ARTICULOS ESCOLARES,1019,CRAYONES,101901,CRAYONES,11171,BINNEY Y SMITH MEXICO,10190101,50041324,CRAYOLA,Marca Externa,1,73.71,85.5,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T025,Merida,2024-02-14,RETAIL,17,LIBROS,1702,INFANTILES,170201,LIBROS INFANTILES,10865,EDICIONES LAROUSSE,17020102,50122675,SN,Marca Externa,1,55,55,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T002,Interlomas,2024-08-31,RETAIL,10,ARTICULOS ESCOLARES,1011,FORROS,101101,FORRO AUTOADHERIBLE,10155,JANEL,10110101,50103120,JANEL,Marca Externa,2,52.6,61.02,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T044,Pachuca,2026-03-24,RETAIL,10,ARTICULOS ESCOLARES,1016,LONCHERAS,101603,HERMETICOS,12327,ZYLKU IMPORTACIONES,10160301,50120319,SIN MARCA,Marca Externa,1,288.79,335,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T052,Hermosillo,2025-06-03,RETAIL,50,COPYMAX,5018,SELLOS,501803,SELLOS INSTANTANEOS,10295,SIN PROVEEDOR,50180301,50029377,,Marca Externa,1,262.93,305,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T047,Los Cabos,2025-10-21,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1204,MANEJO DE VALORES,120402,CAJAS DE DINERO,20533,OFFICE DEPOT ASIA HOLDING,12040201,50062000,SN,Marca Propia,1,300.86,349,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda,2025-07-06,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90802,PERFORADORA DE 3 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,9080201,50065897,OFFICEMAX,Marca Propia,1,134.48,156,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T005,San Agustin,2025-02-13,RETAIL,10,ARTICULOS ESCOLARES,1012,LIBRETAS EJECUTIVAS,101201,LIBRETAS FORMA FRANCESA,10223,INDUSTRIAS DANPEX,10120101,50054727,DANPEX,Marca Externa,1,237.07,275,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T028,San Luis Potosi,2024-08-26,RETAIL,10,ARTICULOS ESCOLARES,1019,CRAYONES,101901,CRAYONES,11171,BINNEY Y SMITH MEXICO,10190101,50061330,CRAYOLA,Marca Externa,1,49.57,57.5,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz,2024-03-27,RETAIL,22,TIEMPO AIRE ELECTRONICO,2201,TIEMPO AIRE ELECTRONICO,220101,TIEMPO AIRE TELCEL,12169,XCD DESARROLLADORA,22010101,50089292,,Marca Externa,1,17.24,20,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T050,Toluca Aeropuerto,2024-08-16,RETAIL,7,CORREO Y PAQUETERIA,704,FOLIADORES,70401,FOLIADORES,20533,OFFICE DEPOT ASIA HOLDING,7040101,50065913,OFFICEMAX,Marca Propia,1,392.24,455,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T027,Miguel Angel,2026-02-27,RETAIL,10,ARTICULOS ESCOLARES,1012,LIBRETAS EJECUTIVAS,101201,LIBRETAS FORMA FRANCESA,10223,INDUSTRIAS DANPEX,10120101,50060450,DANPEX,Marca Externa,1,266.38,309,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T086,Coatzacoalcos II,2024-05-22,RETAIL,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,2020101,50024071,BROTHER,Marca Externa,1,133.97,155.4,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T026,San Pedro,2024-09-06,RETAIL,16,PORTALAPTOPS Y FUNDAS,1601,PORTALAPTOPS,160101,BACKPACKS LAPTOPS,12394,IOTZONE,16010101,50065027,TECHZONE,Marca Externa,1,507.76,589,ST,N,EcolÂ¾gico,Tienda Igual Retail,Activa
T023,Pedregal,2026-03-30,RETAIL,50,COPYMAX,5002,COPIAS A COLOR,500201,COPIAS COLOR CARTA,10295,SIN PROVEEDOR,50020101,50029838,,Marca Externa,188,2414.81,2801.2,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda,2025-03-01,RETAIL,7,CORREO Y PAQUETERIA,703,ENVIO Y CORREO,70302,PAPEL KRAFT,11496,"3M MEXICO,",7030201,50061958,SCOTCH,Marca Externa,1,44.74,51.9,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz,2025-01-03,RETAIL,23,COMISIONES,2301,TARJETAS,230101,TARJETAS,11479,BLACKHAWK NETWORK MEXICO,23010101,50079001,,Marca Externa,1,0,0,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T022,Roma,2024-03-28,RETAIL,18,CHECKOUT,1803,COFFEE BREAK,180302,GALLETAS Y PAN,11891,BIMBO,18030201,50082227,,Marca Externa,3,78.3,78.3,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T057,Reynosa,2025-09-13,RETAIL,2,ELECTRONICOS,201,CALCULADORAS,20102,CALCULADORAS CIENTIFICAS,11712,"CASIO MEXICO MARKETING,",2010201,50100613,CASIO,Marca Externa,1,322.92,348.75,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T007,Veracruz,2025-08-16,RETAIL,7,CORREO Y PAQUETERIA,705,COJINES Y SELLOS,70503,SELLOS,12347,SAC DESIGNS,7050301,50130835,,Marca Externa,2,36.2,42,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T083,Aguascalientes II,2024-10-19,RETAIL,50,COPYMAX,5007,ENGARGOLADOS CARTA,500704,ENGARG.MET.PLAST. CARTA,10295,SIN PROVEEDOR,50070402,50029934,,Marca Externa,1,22.63,26.25,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T039,Alamedas,2024-04-01,RETAIL,22,TIEMPO AIRE ELECTRONICO,2201,TIEMPO AIRE ELECTRONICO,220101,TIEMPO AIRE TELCEL,12169,XCD DESARROLLADORA,22010101,50121707,SN,Marca Externa,1,8.62,10,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T017,Queretaro,2024-11-03,RETAIL,50,COPYMAX,5026,ACCESORIOS COPYMAX,502601,ACCESORIOS COPYMAX,SIN PROVEEDOR,SIN PROVEEDOR,50260101,50125928,,Marca Propia,1,6.9,8,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T033,Gonzalitos,2025-10-11,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1203,LETREROS Y SENALAMIENTOS,120301,LETREROS Y SENALAMIENTOS,11987,D CASTRO IMPORTADORES DE,12030101,50106466,SILVERLINE,Marca Externa,1,128.45,149,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T055,Ciudad Del Carmen,2025-07-15,RETAIL,6,PAPEL,605,PAPEL LASER,60501,PAPEL FOTOGRAFICO,20533,OFFICE DEPOT ASIA HOLDING,6050101,50065845,OFFICEMAX,Marca Propia,2,239.66,278,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T005,San Agustin,2024-01-26,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90901,ARTICULOS DE MONTAJE,10254,VELCRO DE MEXICO,9090102,50015770,VELCRO,Marca Externa,1,36.12,41.9,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T081,Cozumel Express,2025-11-21,RETAIL,2,ELECTRONICOS,207,ELECTRODOMESTICOS Y LINEA BLANCA,20701,ELECTRODOMESTICOS,11161,ROYAL CONSUMER INFORMATION PRODUCTS,2070101,50086950,ROYAL,Marca Externa,2,4170.68,4838,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T031,San Marcos,2024-04-17,RETAIL,50,COPYMAX,5007,ENGARGOLADOS CARTA,500705,ACCESORIOS ENGARGOLADO,10295,SIN PROVEEDOR,50070507,50029943,,Marca Externa,2,20.68,24,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T040,Americas,2024-04-21,RETAIL,18,CHECKOUT,1803,COFFEE BREAK,180302,GALLETAS Y PAN,11891,BIMBO,18030201,50082232,,Marca Externa,2,38,38,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T060,LA RIOJA.,2024-05-29,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40801,CUBIERTAS CON BROCHE,20533,OFFICE DEPOT ASIA HOLDING,4080101,50062263,OFFICEMAX,Marca Propia,3,103.19,119.7,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T056,Cuautla,2024-04-27,RETAIL,14,COMPUTO,1403,ACCESORIOS GAMING,140301,PERIFERICOS GAMING,20533,OFFICE DEPOT ASIA HOLDING,14030102,50117980,STUK,Marca Propia,1,180.17,209,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T002,Interlomas,2026-04-12,RETAIL,50,COPYMAX,5002,COPIAS A COLOR,500203,COPIAS COLOR DOBLE CARTA,10295,SIN PROVEEDOR,50020301,50029850,,Marca Externa,37,625.17,725.2,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz,2025-09-24,RETAIL,50,COPYMAX,5007,ENGARGOLADOS CARTA,500704,ENGARG.MET.PLAST. CARTA,10295,SIN PROVEEDOR,50070404,50029936,,Marca Externa,1,38.79,45,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T031,San Marcos,2025-12-05,RETAIL,10,ARTICULOS ESCOLARES,1016,LONCHERAS,101602,BOTELLAS Y TERMOS,28730,"PARKROSE GROUP, S.L.",10160201,50131094,,Marca Propia,1,102.59,119,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T045,Chihuahua Mirador,2024-11-07,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1203,LETREROS Y SENALAMIENTOS,120301,LETREROS Y SENALAMIENTOS,11970,CENTRO DE PRODUCCION,12030101,50088540,SIGEL,Marca Propia,1,42.24,49,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz,2025-05-23,RETAIL,18,CHECKOUT,1806,PILAS,180603,PILAS RECARGABLES,20533,OFFICE DEPOT ASIA HOLDING,18060301,50065840,OFFICEMAX,Marca Propia,1,154.31,179,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T017,Queretaro,2025-10-19,RETAIL,50,COPYMAX,5009,ENCUADERNADO TERMICOS,500901,ENCUADERNA.TERMICOS CARTA,10295,SIN PROVEEDOR,50090101,50029952,,Marca Externa,1,24.14,28,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T023,Pedregal,2026-01-02,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027264,BIO PAPPEL,Marca Externa,3,669.84,777,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T040,Americas,2026-02-07,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90902,CINTAS DE MONTAJE,11496,"3M MEXICO,",9090201,50113868,SCOTCH,Marca Externa,1,137.07,159,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T026,San Pedro,2026-02-11,RETAIL,6,PAPEL,605,PAPEL LASER,60501,PAPEL FOTOGRAFICO,20533,OFFICE DEPOT ASIA HOLDING,6050101,50062025,OFFICEMAX,Marca Propia,1,93.97,109,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T078,Cancun II,2025-01-27,RETAIL,6,PAPEL,602,ROLLOS DE PAPEL,60201,ROLLO TERMICO,11906,FORMULARIOS DE MEXICO,6020101,50050823,OFFICEMAX,Marca Propia,4,935.18,1084.8,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T006,Arboledas,2025-04-21,RETAIL,9,SUMINISTROS DE OFICINA,907,LIGAS,90701,LIGAS,11582,INDUSTRIAS LEON,9070101,50076806,LEON,Marca Externa,1,18.97,22,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T047,Los Cabos,2024-07-26,RETAIL,3,ARCHIVO Y ACCESORIOS,305,FOLDERS COLGANTES,30501,FOLDERS COLGANTES,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3050102,50061439,PENDAFLEX,Marca Externa,1,280.17,325,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T009,Coyoacan,2025-12-27,RETAIL,50,COPYMAX,5026,ACCESORIOS COPYMAX,502601,ACCESORIOS COPYMAX,SIN PROVEEDOR,SIN PROVEEDOR,50260101,50125928,,Marca Propia,1,6.9,8,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T078,Cancun II,2024-08-22,RETAIL,10,ARTICULOS ESCOLARES,1016,LONCHERAS,101603,HERMETICOS,12327,ZYLKU IMPORTACIONES,10160301,50116904,,Marca Externa,3,426.72,495,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T052,Hermosillo,2024-06-14,RETAIL,18,CHECKOUT,1806,PILAS,180601,PILAS ALCALINAS,20533,OFFICE DEPOT ASIA HOLDING,18060101,50063807,SN,Marca Propia,3,122.5,142.1,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T031,San Marcos,2025-07-15,RETAIL,6,PAPEL,605,PAPEL LASER,60501,PAPEL FOTOGRAFICO,20533,OFFICE DEPOT ASIA HOLDING,6050101,50062025,OFFICEMAX,Marca Propia,1,93.97,109,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T020,Mariano Otero,2025-03-05,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1202,LENTES Y ACCESORIOS,120201,LENTES DISENO,11654,FGX LATIN AMERICA,12020101,50129756,FGX LATIN,Marca Externa,2,318.58,369.55,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
