store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit cost,costo calculado,precio,costo * qty,utilidad,margen,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
T006,Arboledas                     ,10/01/2025,83880,RETAIL,10,ARTICULOS ESCOLARES,1010,LAPICES,101002,LAPICES CHECADORES,20407,PIANO EXPORTS FZCO,10100201,50069461,OFFICEMAX,Marca Propia,5,94.4,109.5,ST,8.64,13.036,18.88,65.18,29.23,0.3096,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T060,LA RIOJA.                     ,24/08/2024,90480,RETAIL,3,ARCHIVO Y ACCESORIOS,301,FOLDERS,30102,FOLDERS COLORES,28730,"PARKROSE GROUP, S.L.",3010201,50125459,STUK,Marca Propia,1,34.41,39.92,ST,19.032,25.14,25.81,25.14,9.28,0.2695,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T041,Queretaro II                  ,17/03/2025,54952,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90801,PERFORADORA DE 1 ORIFICIO,20533,OFFICE DEPOT ASIA HOLDING,9080101,50062047,OFFICEMAX,Marca Propia,1,24.91,28.9,ST,14.22,18.76,24.91,18.76,6.15,0.2469,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T028,San Luis Potosi               ,19/09/2025,97992,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40801,CUBIERTAS CON BROCHE,20533,OFFICE DEPOT ASIA HOLDING,4080101,50063082,OFFICEMAX,Marca Propia,2,72.24,83.8,ST,11.364,22.795,36.12,45.59,26.65,0.3689,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz                        ,28/01/2025,37367,RETAIL,10,ARTICULOS ESCOLARES,1019,CRAYONES,101901,CRAYONES,11171,BINNEY Y SMITH MEXICO,10190101,50061330,CRAYOLA,Marca Externa,1,49.57,57.5,ST,37.164,40.26,49.57,40.26,9.31,0.1878,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T002,Interlomas                    ,13/11/2024,17221,RETAIL,4,CARPETAS,401,CARPETAS,40102,ARILLO EN D,12175,ACCO MEXICANA,4010201,50110190,ACCO,Marca Externa,1,109.66,127.2,ST,97.656,95.52,137.07,95.52,14.14,0.1289,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T040,Americas                      ,10/08/2024,45746,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30304,ETIQUETAS ESPECIALES,11413,POCHTECA PAPEL,3030401,50049770,POCHTECA,Marca Externa,1,257.76,299,ST,207.54,212.43,257.76,212.43,45.33,0.1759,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T042,Irapuato                      ,19/09/2025,12714,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40803,CUBIERTAS PLASTIFICADAS,20533,OFFICE DEPOT ASIA HOLDING,4080301,50062258,OFFICEMAX,Marca Propia,1,86.12,99.9,ST,38.352,57.47,86.12,57.47,28.65,0.3326,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T046,Ensenada                      ,22/05/2024,16140,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50074162,OFFICEMAX,Marca Propia,1,23.61,25.5,ST,8.232,15.23,21.98,15.23,8.38,0.3547,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T061,Mexicali                      ,03/03/2026,82829,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90801,PERFORADORA DE 1 ORIFICIO,20533,OFFICE DEPOT ASIA HOLDING,9080101,50062047,OFFICEMAX,Marca Propia,1,32.32,34.9,ST,14.22,21.6,24.91,21.6,10.72,0.3317,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T057,Reynosa                       ,10/03/2024,82322,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50074162,,Marca Externa,1,23.61,25.5,ST,8.232,15.32,21.98,15.32,8.29,0.3509,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T050,Toluca Aeropuerto             ,07/09/2024,14651,RETAIL,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,4030201,50061981,OFFICEMAX,Marca Propia,1,77.5,89.9,ST,30.42,51.24,81.47,51.24,26.26,0.3388,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T061,Mexicali                      ,05/04/2024,58673,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90505,ENGRAPADORAS USO RUDO,20533,OFFICE DEPOT ASIA HOLDING,9050501,50065894,OFFICEMAX,Marca Propia,1,199.08,215,ST,81.816,126.87,185.34,126.87,72.22,0.3627,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T068,Tuxtla Gutierrez              ,16/01/2024,79230,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,20533,OFFICE DEPOT ASIA HOLDING,10200101,50063594,VIRTUO,Marca Externa,1,116.38,135,ST,86.328,88.53,116.38,88.53,27.85,0.2393,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T033,Gonzalitos                    ,20/01/2025,64728,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,12175,ACCO MEXICANA,9050101,50033288,BARRILITO,Marca Externa,4,375.86,436,ST,58.74,71.4575,77.5,285.83,90.03,0.2395,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T077,San Isidro                    ,03/11/2024,36518,RETAIL,4,CARPETAS,405,ENMICADO Y ENGARGOLADO,40501,ENMICADO,12160,QUANTUM GRAPHICS,4050102,50076334,OFFICEMAX,Marca Propia,1,77.5,89.9,ST,51.336,60.14,77.5,60.14,17.36,0.2241,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T032,Santa Fe II                   ,30/01/2025,77650,RETAIL,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,4030201,50061985,OFFICEMAX,Marca Propia,2,99.83,115.8,ST,17.268,31.79,49.91,63.58,36.25,0.3632,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T060,LA RIOJA.                     ,29/09/2025,61733,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,20533,OFFICE DEPOT ASIA HOLDING,10200101,50070186,OFFICEMAX,Marca Propia,1,125,145,ST,80.976,98.67,125,98.67,26.33,0.2106,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T074,Cuernavaca II                 ,16/07/2024,56775,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30601,TARJETAS INDICE BLANCAS,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060101,50011910,OXFORD,Marca Externa,1,21.47,24.9,ST,9.384,14.64,21.47,14.64,6.83,0.3179,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T022,Roma                          ,25/08/2024,82257,RETAIL,3,ARCHIVO Y ACCESORIOS,301,FOLDERS,30103,FOLDERS DE POLIPROPILENO,20533,OFFICE DEPOT ASIA HOLDING,3010301,50125174,STUK,Marca Propia,1,68.9,79.92,ST,62.868,60.52,93.97,60.52,8.39,0.1217,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T018,Polanco II                    ,06/08/2024,18448,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50065888,OFFICEMAX,Marca Propia,1,10.8,12.53,ST,9.276,9.26,15.43,9.26,1.53,0.1421,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T038,Tabasco                       ,03/12/2024,10897,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90502,ENGRAPADORAS TIRA COMPLETA,20533,OFFICE DEPOT ASIA HOLDING,9050201,50069423,OFFICEMAX,Marca Propia,1,252.16,292.5,ST,91.104,161.94,280.17,161.94,90.22,0.3578,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz                        ,29/04/2026,13072,RETAIL,4,CARPETAS,406,TABLAS SUJETA DOCUMENTOS,40603,TABLAS METALICAS,20533,OFFICE DEPOT ASIA HOLDING,4060301,50069412,OFFICEMAX,Marca Propia,1,180.17,209,ST,108.072,135.19,180.17,135.19,44.98,0.2497,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T026,San Pedro                     ,20/04/2026,20570,RETAIL,4,CARPETAS,405,ENMICADO Y ENGARGOLADO,40501,ENMICADO,12160,QUANTUM GRAPHICS,4050102,50076332,OFFICEMAX,Marca Propia,1,40.09,46.5,ST,19.476,28.16,40.09,28.16,11.93,0.2976,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T061,Mexicali                      ,30/08/2025,88725,RETAIL,9,SUMINISTROS DE OFICINA,904,SUJETADOCUMENTOS,90404,ARGOLLAS Y POSTES,20533,OFFICE DEPOT ASIA HOLDING,9040401,50069639,OFFICEMAX,Marca Propia,1,44.44,48,ST,10.5,27.33,39.22,27.33,17.11,0.385,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
