prod_nbr,prod_nm,dept_cd,apparent_unit_cost
50091010,GE COMPUTO 20001-25000 12M,62,1134
50091011,GE COMPUTO 25001-30000 12M,62,1373.4
50091020,COLGANTES O GALLETAS,61,0.021
50091028,FLOOR GRAPHICS ENTRADA ,61,0.021
50091036,MUELAS GENERICAS,61,0.021
50091045,GE COMPUTO 3001-4000 24M,62,662.4952895
50091049,GE COMPUTO 4001-6000 24M,62,957.8140932
50091050,GE COMPUTO 6001-8000 24M,62,1346.127908
50091052,GE COMPUTO 8001-10000 24M,62,1274.235677
50091054,GE COMPUTO 10001-12000 24M,62,1585.5
50091055,GE COMPUTO 12001-14000 24M,62,1873.2
50091057,GE COMPUTO 14001-16000 24M,62,1990.8
50091059,GE COMPUTO 16001-20000 24M,62,2396.1
50091061,GE COMPUTO 20001-25000 24M,62,2593.5
50091063,GE COMPUTO 25001-30000 24M,62,3126.9
50091075,GARANTIA ELECTRO 3001-4000 12M,62,258.3
50091076,GE ELECTRONICOS 4001-5000 12M,62,321.5571429
50091077,GARANTIA ELECTRO 5001-6000 12M,62,390.6
50091078,GARANTIA ELECTRO 6001-7000 12M,62,458.4228612
50091079,GE ELECTRONICOS 7001-8000 12M,62,392.7
50091080,GE ELECTRONICOS 8001-10000 12M,62,460.1364194
50091081,GE ELECTRONICOS 10001-12000 12,62,575.4
50091082,GE ELECTRONICOS 12001-15000 12,62,552.7242
50091083,GE ELECTRONICOS 15001-20000 12,62,875.7
50091086,GE ELECTRONICOS 3001-4000 24M,62,564.9
50091087,GE ELECTRONICOS 4001-5000 24M,62,730.8
50091088,GE ELECTRONICOS 5001-6000 24M,62,900.9
50091089,GARANTIA ELECTRO 6001-7000 24M,62,936.6
50091090,GE ELECTRONICOS 7001-8000 24M,62,1026.9
50091091,GE ELECTRONICOS 8001-10000 24M,62,1085.7
50091092,GE ELECTRONICOS 10001-12000 24,62,1318.8
50091094,GE ELECTRONICOS 15001-20000 24,62,1932
50094119,COPETES VARIOS MODELOS,61,0.021
50094123,CABECERA GENERICA MOD.07,61,0.021
50094124,COPETES SCRIBE 2019,61,0.021
50094139,RESPALDO COROPLAST,61,0.021
50094436,NETFLIX 2017 300MXN,23,585.9
50095484,GOOGLE PLAY GCARD 100MXN,23,197.4
50095486,GOOGLE PLAY GCARD 200MXN,23,394.8
50095487,GOOGLE PLAY GCARD 300MXN,23,592.2
50095489,GOOGLE PLAY GCARD 600MXN,23,1184.4
50098118,PAGO SERVICIO TELMEX,23,0.021
50098119,PAGO SERVICIO TELNOR,23,0.021
50098120,PAGO SERVICIO DISH,23,0.021
50098121,PAGO SERVICIO TELCEL POST PAGO,23,0.021
50098123,PAGO SERVICIO I+D (PASE),23,0.021
50098126,PAGO SERVICIO IZZI,23,0.021
50098127,PAGO SERVICIO SKY VETV,23,0.021
50098128,PAGO SERVICIO CFE,23,0.021
50098129,PAGO SERVICIO GOB CDMX,23,0.021
50098130,PAGO SERVICIO GOB EDOMEX,23,0.021
50098160,COMISION SERVICIO TELMEX,23,0.021
50098162,COMISION SERVICIO TELNOR,23,0.021
50098163,COMISION SERVICIO DISH,23,0.021
50098164,COMISION SERVICIO TELCEL POSTP,23,0.021
50098166,COMISION SERVICIO I+D (PASE),23,0.021
50098167,COMISION SERVICIO IZZI,23,0.021
50098168,COMISION SERVICIO SKY/VETV,23,0.021
50098169,COMISION SERVICIO CFE,23,0.021
50100535,ENVIOS CALL CENTER ASEGURADO,61,0.021
50100859,PAGO SERVICIO GOB GUANAJUATO,23,0.021
50100864,PAGO SERVICIO GAS NATURAL,23,0.021
50100865,PAGO SERVICIO INFONAVIT,23,0.021
50100866,PAGO SERVICIO AGUA/DREN MTY,23,0.021
50100867,PAGO SERVICIO SIAPA AGUA GDL,23,0.021
50100869,PAGO SERVICIO MEGACABLE,23,0.021
50101027,COMISION SERVICIO GAS NATURAL,23,0.021
50101029,COMISION SERV AGUA/DREN MTY,23,0.021
50101030,COMISION SERV SIAPA AGUA GDL,23,0.021
50101032,COMISION SERVICIO MEGACABLE,23,0.021
50103255,ARMADO SILLAS,61,0.1073227612
50103257,ARMADO ESCRITORIO|||,61,0.1269256393
50103258,ARMADO DE LIBREROS,61,0.04840327869
50105602,PAGO SERVICIO AVON,23,0.021
50108736,COLABORADORES BED BATH Y LA COMER,61,0.021
50109581,PAGO SERVICIO GOB TAMAULIPAS,23,0.021
50112096,TARIMA,61,0.021
50112171,AMAZON $300,23,596.61
50112172,AMAZON $500,23,985.37186
50112173,AMAZON $1000,23,1803.650715
50112552,RIXTY STEAM 215MXN,23,302.7054822
50112553,RIXTY STEAM 530MXN,23,738.5982414
50112554,RAZER 200MXN,23,0.021
50112596,ARMADO ESCRITORIO EN L,61,0.1024889503
50113813,GARENA FREE FIRE 500MXN,23,470.6682581
50113815,SPOTIFY  1M 115 MXN,23,231.84
50113816,SPOTIFY 3M 349MXN,23,636.7677495
50113817,SPOTIFY 6M 689MXN,23,1066.631035
50113820,CINEPOLIS 99MXN,23,156.1448364
50113821,NINTENDO SWITCH 2020 12M  ,23,528.0565294
50113823,XBOX 2020 200MXN,23,316.6462923
50113824,XBOX 2020 300MXN,23,461.0748908
50113825,XBOX LIVE 1M GOLD 2020 169MXN,23,206.539725
50113826,XBOX LIVE 3M GOLD 2020 419MXN,23,304.289
50113829,XBOX GAME PASS ULTIMATE 1M,23,373.5944655
50114082,NINTENDO SWITCH 2020 3M $200,23,179.4290556
50120096,BOLSA NATURAL 45X60 200,90,2.835
50121990,PAQ DATOS TELCEL  $20.00,22,33.936
50121991,PAQ DATOS TELCEL $30.00,22,50.904
50121992,PAQ DATOS TELCEL $50.00,22,84.84
50121993,PAQ DATOS TELCEL $80.00,22,135.723
