variable,coeficiente,abs_coeficiente
fechas_venta,0.6911561552620756,0.6911561552620756
store_nbr_T024,-0.09658142103436014,0.09658142103436014
store_nbr_T064,0.09651976233181969,0.09651976233181969
store_nbr_T088,-0.09522581500749619,0.09522581500749619
subdept_nm_TIJERAS,-0.08302250131323041,0.08302250131323041
margen,-0.07630132904035342,0.07630132904035342
store_nbr_T049,0.07202776047143528,0.07202776047143528
store_nbr_T018,0.06858809050246203,0.06858809050246203
store_nbr_T017,0.06668768734739916,0.06668768734739916
store_nbr_T082,0.06668334846452702,0.06668334846452702
store_nbr_T051,0.06468468909085037,0.06468468909085037
store_nbr_T055,-0.05935919475173354,0.05935919475173354
store_nbr_T040,0.05845949772845707,0.05845949772845707
store_nbr_T005,-0.05479765032404258,0.05479765032404258
store_nbr_T002,0.05404150323385074,0.05404150323385074
store_nbr_T026,-0.05373011976428661,0.05373011976428661
store_nbr_T043,0.05280039624513223,0.05280039624513223
store_nbr_T034,-0.04776132726056591,0.04776132726056591
store_nbr_T061,-0.04604315577760223,0.04604315577760223
store_nbr_T076,0.045322430518547355,0.045322430518547355
ln_costo_unitario,-0.045292128028915364,0.045292128028915364
store_nbr_T065,-0.04480750194615847,0.04480750194615847
store_nbr_T031,0.04324387591462145,0.04324387591462145
ln_precio,0.04256557948023748,0.04256557948023748
subdept_nm_LIGAS,-0.040978005562816514,0.040978005562816514
store_nbr_T048,-0.0407376952254481,0.0407376952254481
subdept_nm_PERFORADORAS,-0.03919824179875403,0.03919824179875403
store_nbr_T033,0.03858260424180064,0.03858260424180064
store_nbr_T027,-0.03817022496541062,0.03817022496541062
store_nbr_T077,-0.03662769940846858,0.03662769940846858
store_nbr_T066,0.03562402026568715,0.03562402026568715
store_nbr_T086,-0.03438114301789965,0.03438114301789965
store_nbr_T079,-0.033917260092519844,0.033917260092519844
store_nbr_T032,0.03379968474104522,0.03379968474104522
store_nbr_T056,-0.03362987643905798,0.03362987643905798
store_nbr_T020,0.03296264463512624,0.03296264463512624
store_nbr_T059,-0.03178125127559098,0.03178125127559098
store_nbr_T081,0.03170101803281679,0.03170101803281679
store_nbr_T071,-0.029102426012029628,0.029102426012029628
store_nbr_T054,-0.028530872953930163,0.028530872953930163
store_nbr_T021,-0.028218957966183945,0.028218957966183945
store_nbr_T022,0.027014588789064032,0.027014588789064032
store_nbr_T028,0.026937969084144035,0.026937969084144035
store_nbr_T014,-0.02635669028296732,0.02635669028296732
store_nbr_T072,0.024850161170807815,0.024850161170807815
store_nbr_T009,-0.02414847732830518,0.02414847732830518
store_nbr_T044,-0.023979462734709838,0.023979462734709838
store_nbr_T035,-0.02360592359478033,0.02360592359478033
store_nbr_T074,0.02324726397990723,0.02324726397990723
store_nbr_T060,0.023097934077396347,0.023097934077396347
store_nbr_T038,0.02202732697372542,0.02202732697372542
store_nbr_T036,0.021637438299010367,0.021637438299010367
store_nbr_T062,-0.02043992269081387,0.02043992269081387
store_nbr_T025,-0.020386088972521813,0.020386088972521813
store_nbr_T007,-0.019831427992613115,0.019831427992613115
store_nbr_T030,-0.01966621699146955,0.01966621699146955
store_nbr_T045,0.01924481837875385,0.01924481837875385
store_nbr_T015,0.01776380232928289,0.01776380232928289
store_nbr_T080,0.017635045590955113,0.017635045590955113
store_nbr_T006,0.017358366669932634,0.017358366669932634
store_nbr_T016,-0.016764142222696354,0.016764142222696354
store_nbr_T050,-0.016606583534259332,0.016606583534259332
store_nbr_T004,0.0156244069861763,0.0156244069861763
store_nbr_T070,-0.015461054413781213,0.015461054413781213
store_nbr_T046,-0.014735502614856337,0.014735502614856337
store_nbr_T058,-0.014422993561847394,0.014422993561847394
tipo_marca_Marca Propia,0.014359316791547248,0.014359316791547248
store_nbr_T057,-0.01419949860411198,0.01419949860411198
subdept_nm_ENGRAPADORAS,0.012705767261222134,0.012705767261222134
subdept_nm_NOTAS ADHESIVAS Y BANDERITAS,0.011881250081807626,0.011881250081807626
subdept_nm_PEGAMENTOS Y ADHESIVOS,0.01164174063108242,0.01164174063108242
store_nbr_T041,0.011493565573894138,0.011493565573894138
store_nbr_T063,-0.01075912593885733,0.01075912593885733
store_nbr_T023,0.010645072493149887,0.010645072493149887
store_nbr_T013,-0.010483770950253032,0.010483770950253032
store_nbr_T047,0.010296109795060602,0.010296109795060602
store_nbr_T008,-0.009978803647765627,0.009978803647765627
store_nbr_T053,0.00938663994577728,0.00938663994577728
store_nbr_T083,0.009044837005646383,0.009044837005646383
store_nbr_T069,-0.008535964386523511,0.008535964386523511
store_nbr_T010,0.007956658363051351,0.007956658363051351
store_nbr_T087,-0.007847138533103594,0.007847138533103594
store_nbr_T052,0.0077856882781678,0.0077856882781678
subdept_nm_SUJETADOCUMENTOS,0.007785270501915596,0.007785270501915596
store_nbr_T039,0.007447576134131202,0.007447576134131202
store_nbr_T012,-0.006936055112508586,0.006936055112508586
store_nbr_T073,0.006200842771428083,0.006200842771428083
subdept_nm_CINTAS ADHESIVAS,-0.005459772947716268,0.005459772947716268
store_nbr_T067,-0.005322632420307675,0.005322632420307675
store_nbr_T019,-0.004965768400790459,0.004965768400790459
anio,0.004821597632439029,0.004821597632439029
store_nbr_T042,0.004754158308267753,0.004754158308267753
store_nbr_T075,-0.0038298072005070773,0.0038298072005070773
store_nbr_T085,-0.002843009503508142,0.002843009503508142
store_nbr_T068,0.002809438304653994,0.002809438304653994
store_nbr_T011,-0.001998391317879158,0.001998391317879158
mes_num,0.0009440071037751796,0.0009440071037751796
store_nbr_T078,-0.0007032705666838029,0.0007032705666838029
store_nbr_T037,-0.00041945938338472377,0.00041945938338472377
