variable,coeficiente,abs_coeficiente
fechas_venta,0.7798850856649,0.7798850856649
subdept_nm_HOJAS PARA CARPETAS,0.17607814557303636,0.17607814557303636
store_nbr_T068,0.17002801492878766,0.17002801492878766
store_nbr_T055,0.15420409191371093,0.15420409191371093
store_nbr_T073,-0.14477704166765826,0.14477704166765826
store_nbr_T088,-0.1366104711450469,0.1366104711450469
store_nbr_T020,0.12620117854565216,0.12620117854565216
store_nbr_T047,0.1258173287885046,0.1258173287885046
store_nbr_T086,-0.12021794970392893,0.12021794970392893
store_nbr_T075,0.11598850191860571,0.11598850191860571
store_nbr_T012,-0.11414569670140721,0.11414569670140721
store_nbr_T063,-0.1051688344240325,0.1051688344240325
subdept_nm_LAPICERAS Y ESTUCHES,-0.1012850057441437,0.1012850057441437
store_nbr_T044,-0.10114308344669881,0.10114308344669881
store_nbr_T049,-0.09913809112374072,0.09913809112374072
subdept_nm_PLUMAS Y LAPICEROS FINOS,-0.09812266198106766,0.09812266198106766
store_nbr_T017,-0.09798528605571015,0.09798528605571015
store_nbr_T016,-0.09721170381043011,0.09721170381043011
store_nbr_T080,-0.09495666695274821,0.09495666695274821
subdept_nm_MARCATEXTOS,-0.09353146002279171,0.09353146002279171
store_nbr_T038,-0.08811568839856018,0.08811568839856018
store_nbr_T033,-0.08802488670296768,0.08802488670296768
store_nbr_T056,-0.08773504302696383,0.08773504302696383
store_nbr_T053,-0.08714956438920804,0.08714956438920804
store_nbr_T006,-0.0859249549803319,0.0859249549803319
store_nbr_T067,0.08448850313395956,0.08448850313395956
subdept_nm_LAPICES DE COLORES,0.08111156048776223,0.08111156048776223
ln_precio,-0.07878027394929556,0.07878027394929556
margen,-0.07386448463498241,0.07386448463498241
store_nbr_T078,-0.07244570250888482,0.07244570250888482
store_nbr_T046,-0.0716654200031398,0.0716654200031398
subdept_nm_MARCADORES,-0.06948831813719765,0.06948831813719765
store_nbr_T087,0.06819138219466181,0.06819138219466181
store_nbr_T066,-0.0658913855063032,0.0658913855063032
store_nbr_T057,-0.06409666952698395,0.06409666952698395
subdept_nm_CRAYONES,-0.06306318012362552,0.06306318012362552
store_nbr_T002,0.06164848150169177,0.06164848150169177
store_nbr_T085,0.06088581410908626,0.06088581410908626
store_nbr_T077,-0.05992165724730472,0.05992165724730472
subdept_nm_LAPICES,-0.059495947287061535,0.059495947287061535
subdept_nm_FORROS,0.058260970497042326,0.058260970497042326
store_nbr_T061,0.05805998900775608,0.05805998900775608
store_nbr_T065,-0.05707443049915301,0.05707443049915301
subdept_nm_FLAUTAS,-0.05527582400206787,0.05527582400206787
store_nbr_T019,0.05516782621426197,0.05516782621426197
store_nbr_T062,-0.052892766612017104,0.052892766612017104
store_nbr_T072,-0.0512956614783517,0.0512956614783517
store_nbr_T043,0.049029951559651716,0.049029951559651716
store_nbr_T037,0.04764061429525403,0.04764061429525403
store_nbr_T040,-0.04652592134995457,0.04652592134995457
store_nbr_T081,-0.045790147205397334,0.045790147205397334
store_nbr_T026,0.04383746388730459,0.04383746388730459
store_nbr_T009,-0.04244854257171837,0.04244854257171837
store_nbr_T070,0.042202139709412445,0.042202139709412445
store_nbr_T021,0.039826338280708314,0.039826338280708314
store_nbr_T015,-0.03964845452327569,0.03964845452327569
store_nbr_T076,-0.038339057010517666,0.038339057010517666
store_nbr_T051,0.03799266770553765,0.03799266770553765
store_nbr_T050,-0.0378848958393044,0.0378848958393044
store_nbr_T048,-0.03774864247092427,0.03774864247092427
store_nbr_T064,0.033838521464732346,0.033838521464732346
store_nbr_T008,0.033722557737005304,0.033722557737005304
store_nbr_T025,-0.033656751568254095,0.033656751568254095
store_nbr_T082,-0.033179041271040044,0.033179041271040044
store_nbr_T013,-0.031737545593577124,0.031737545593577124
store_nbr_T014,0.030685423153923475,0.030685423153923475
anio,-0.030160585153657028,0.030160585153657028
store_nbr_T041,-0.028141735892814795,0.028141735892814795
store_nbr_T035,-0.027720601306774464,0.027720601306774464
subdept_nm_LONCHERAS,-0.026054045516580596,0.026054045516580596
store_nbr_T010,-0.02605229877218662,0.02605229877218662
tipo_marca_Marca Propia,-0.02576714876265128,0.02576714876265128
store_nbr_T060,-0.025737302019132907,0.025737302019132907
store_nbr_T007,-0.024694740998563725,0.024694740998563725
store_nbr_T034,0.024608787060947282,0.024608787060947282
store_nbr_T069,0.023116230111938814,0.023116230111938814
store_nbr_T018,0.022039945002967687,0.022039945002967687
store_nbr_T004,-0.02184639900633223,0.02184639900633223
ln_costo_unitario,0.02038566334616594,0.02038566334616594
subdept_nm_LIBRETAS EJECUTIVAS,-0.01967836077234507,0.01967836077234507
store_nbr_T059,0.01961558482711109,0.01961558482711109
store_nbr_T052,-0.018980973118253947,0.018980973118253947
store_nbr_T022,-0.018490256219234266,0.018490256219234266
store_nbr_T039,0.017995675997711846,0.017995675997711846
store_nbr_T058,-0.015611782279625138,0.015611782279625138
store_nbr_T011,-0.015195052572630291,0.015195052572630291
store_nbr_T032,-0.014112504169355916,0.014112504169355916
store_nbr_T028,-0.014042499148271895,0.014042499148271895
store_nbr_T027,0.013255702245893924,0.013255702245893924
store_nbr_T054,-0.01213986284740929,0.01213986284740929
store_nbr_T031,-0.011867334349144557,0.011867334349144557
store_nbr_T005,-0.010657429990916407,0.010657429990916407
store_nbr_T023,-0.009609967655896542,0.009609967655896542
store_nbr_T042,-0.00932389613503972,0.00932389613503972
store_nbr_T074,0.008655950468311358,0.008655950468311358
store_nbr_T036,-0.008433772128208263,0.008433772128208263
store_nbr_T030,0.007880965353907463,0.007880965353907463
subdept_nm_MOCHILAS,-0.00427100780945866,0.00427100780945866
store_nbr_T083,0.0037251954724526054,0.0037251954724526054
store_nbr_T045,-0.003554719415249548,0.003554719415249548
mes_num,-0.0011531649864637995,0.0011531649864637995
store_nbr_T079,-0.0010565208700393028,0.0010565208700393028
store_nbr_T071,0.0010321292066878957,0.0010321292066878957
subdept_nm_SACAPUNTAS,0.00013225157900814688,0.00013225157900814688
