SKU,n_observaciones,r2,beta_precio,estatus
50111555,17,,,precio constante
50111606,12,,,precio constante
50111695,2,,,n insuficiente
50111730,1,,,n insuficiente
50111732,2,,,n insuficiente
50112417,2,,,n insuficiente
50112445,5,,,n insuficiente
50112446,3,,,n insuficiente
50112450,1,,,n insuficiente
50113587,5,,,n insuficiente
50113588,1,,,n insuficiente
50115604,1,,,n insuficiente
50115607,3,,,n insuficiente
50115608,2,,,n insuficiente
50115647,1,,,n insuficiente
50115649,10,,,n insuficiente
50115656,2,,,n insuficiente
50115666,2,,,n insuficiente
50115671,5,,,n insuficiente
50115773,1,,,n insuficiente
50116148,2,,,n insuficiente
50116149,3,,,n insuficiente
50116436,7,,,n insuficiente
50116702,13,,,precio constante
50116744,3,,,n insuficiente
50116747,5,,,n insuficiente
50116748,3,,,n insuficiente
50116781,1,,,n insuficiente
50116842,88,,,precio constante
50116863,3,,,n insuficiente
50116868,9,,,n insuficiente
50118397,1,,,n insuficiente
50118399,1,,,n insuficiente
50118400,1,,,n insuficiente
50118817,4,,,n insuficiente
50120029,4,,,n insuficiente
50120030,2,,,n insuficiente
50120031,3,,,n insuficiente
50120032,4,,,n insuficiente
50120230,1,,,n insuficiente
50120231,1,,,n insuficiente
50122196,1,,,n insuficiente
50122197,2,,,n insuficiente
50122198,1,,,n insuficiente
50122201,1,,,n insuficiente
50122202,2,,,n insuficiente
50122205,1,,,n insuficiente
50122210,1,,,n insuficiente
50122213,1,,,n insuficiente
50122217,1,,,n insuficiente
50122225,2,,,n insuficiente
50122226,1,,,n insuficiente
50122227,3,,,n insuficiente
50122230,1,,,n insuficiente
50122233,1,,,n insuficiente
50122236,1,,,n insuficiente
50122237,3,,,n insuficiente
50122245,2,,,n insuficiente
50122246,1,,,n insuficiente
50122248,1,,,n insuficiente
50122249,2,,,n insuficiente
50122250,1,,,n insuficiente
50122252,1,,,n insuficiente
50122260,1,,,n insuficiente
50122261,1,,,n insuficiente
50122264,1,,,n insuficiente
50122265,3,,,n insuficiente
50122270,1,,,n insuficiente
50122272,1,,,n insuficiente
50122277,1,,,n insuficiente
50122287,1,,,n insuficiente
50122288,1,,,n insuficiente
50122290,2,,,n insuficiente
50122293,1,,,n insuficiente
50122294,6,,,n insuficiente
50122298,1,,,n insuficiente
50122307,1,,,n insuficiente
50122308,1,,,n insuficiente
50122312,1,,,n insuficiente
50122313,1,,,n insuficiente
50122314,1,,,n insuficiente
50122321,2,,,n insuficiente
50122322,1,,,n insuficiente
50122326,2,,,n insuficiente
50122330,1,,,n insuficiente
50122331,1,,,n insuficiente
50122352,4,,,n insuficiente
50122353,4,,,n insuficiente
50122354,2,,,n insuficiente
50122355,4,,,n insuficiente
50122356,2,,,n insuficiente
50122357,2,,,n insuficiente
50122358,7,,,n insuficiente
50122359,3,,,n insuficiente
50122360,1,,,n insuficiente
50122361,1,,,n insuficiente
50122362,4,,,n insuficiente
50122363,2,,,n insuficiente
50122364,3,,,n insuficiente
50122366,2,,,n insuficiente
50122367,2,,,n insuficiente
50122368,2,,,n insuficiente
50122371,1,,,n insuficiente
50122379,1,,,n insuficiente
50122381,1,,,n insuficiente
50122382,2,,,n insuficiente
50122383,1,,,n insuficiente
50122384,1,,,n insuficiente
50122385,1,,,n insuficiente
50122386,2,,,n insuficiente
50122390,1,,,n insuficiente
50122393,2,,,n insuficiente
50122394,1,,,n insuficiente
50122395,1,,,n insuficiente
50122396,2,,,n insuficiente
50122398,1,,,n insuficiente
50122400,2,,,n insuficiente
50122401,2,,,n insuficiente
50122402,3,,,n insuficiente
50122405,1,,,n insuficiente
50122408,1,,,n insuficiente
50122409,1,,,n insuficiente
50122410,2,,,n insuficiente
50122413,1,,,n insuficiente
50122418,1,,,n insuficiente
50122419,1,,,n insuficiente
50122494,3,,,n insuficiente
50122495,2,,,n insuficiente
50122496,5,,,n insuficiente
50122498,6,,,n insuficiente
50122500,3,,,n insuficiente
50122503,1,,,n insuficiente
50122504,2,,,n insuficiente
50122507,1,,,n insuficiente
50122511,4,,,n insuficiente
50123110,5,,,n insuficiente
50123146,3,,,n insuficiente
50123524,1,,,n insuficiente
50125167,12,,,precio constante
50125172,23,,,precio constante
50125179,15,,,precio constante
50125180,17,,,precio constante
50125461,37,,,precio constante
50125495,30,,,precio constante
50125886,3,,,n insuficiente
50127307,3,,,n insuficiente
50127308,1,,,n insuficiente
50127309,4,,,n insuficiente
50127310,1,,,n insuficiente
50127312,2,,,n insuficiente
50127313,2,,,n insuficiente
50127680,1,,,n insuficiente
50127956,1,,,n insuficiente
50127957,1,,,n insuficiente
50127960,2,,,n insuficiente
50127961,1,,,n insuficiente
50127962,1,,,n insuficiente
50128234,5,,,n insuficiente
50128235,3,,,n insuficiente
50128236,8,,,n insuficiente
50128237,1,,,n insuficiente
50128238,8,,,n insuficiente
50128239,10,,,n insuficiente
50128240,7,,,n insuficiente
50128241,2,,,n insuficiente
50128451,10,,,n insuficiente
50129135,1,,,n insuficiente
50129136,7,,,n insuficiente
50129137,2,,,n insuficiente
50129138,5,,,n insuficiente
50129139,6,,,n insuficiente
50129140,5,,,n insuficiente
50129141,16,,,precio constante
50129142,9,,,n insuficiente
50129143,11,,,n insuficiente
50129144,7,,,n insuficiente
50129145,7,,,n insuficiente
50129146,9,,,n insuficiente
50129147,5,,,n insuficiente
50129148,5,,,n insuficiente
50129149,6,,,n insuficiente
50129150,6,,,n insuficiente
50129151,9,,,n insuficiente
50129152,10,,,n insuficiente
50129153,10,,,n insuficiente
50129154,8,,,n insuficiente
50129155,9,,,n insuficiente
50129156,6,,,n insuficiente
50129157,8,,,n insuficiente
50129158,3,,,n insuficiente
50129159,4,,,n insuficiente
50129160,7,,,n insuficiente
50129161,3,,,n insuficiente
50129162,8,,,n insuficiente
50129163,4,,,n insuficiente
50129164,2,,,n insuficiente
50129165,3,,,n insuficiente
50129166,2,,,n insuficiente
50129167,10,,,n insuficiente
50129168,5,,,n insuficiente
50129169,3,,,n insuficiente
50129170,3,,,n insuficiente
50129171,4,,,n insuficiente
50129172,3,,,n insuficiente
50129174,4,,,n insuficiente
50129175,2,,,n insuficiente
50129176,1,,,n insuficiente
50129177,3,,,n insuficiente
50129178,3,,,n insuficiente
50129381,1,,,n insuficiente
50129426,3,,,n insuficiente
50129428,4,,,n insuficiente
50129439,1,,,n insuficiente
50129440,1,,,n insuficiente
50129441,2,,,n insuficiente
50129444,1,,,n insuficiente
50129453,1,,,n insuficiente
50129456,2,,,n insuficiente
50129459,1,,,n insuficiente
50129465,1,,,n insuficiente
50129466,1,,,n insuficiente
50129468,4,,,n insuficiente
50129469,2,,,n insuficiente
50129470,2,,,n insuficiente
50129471,2,,,n insuficiente
50129473,1,,,n insuficiente
50129475,2,,,n insuficiente
50129478,1,,,n insuficiente
50129480,2,,,n insuficiente
50129481,1,,,n insuficiente
50129482,1,,,n insuficiente
50129484,2,,,n insuficiente
50129486,1,,,n insuficiente
50129487,1,,,n insuficiente
50129488,1,,,n insuficiente
50129489,1,,,n insuficiente
50129490,4,,,n insuficiente
50129492,1,,,n insuficiente
50129494,1,,,n insuficiente
50129495,1,,,n insuficiente
50129498,1,,,n insuficiente
50129502,1,,,n insuficiente
50129503,1,,,n insuficiente
50129507,5,,,n insuficiente
50129508,2,,,n insuficiente
50129509,1,,,n insuficiente
50129510,1,,,n insuficiente
50129514,1,,,n insuficiente
50129515,1,,,n insuficiente
50129516,1,,,n insuficiente
50129517,1,,,n insuficiente
50129521,1,,,n insuficiente
50129524,2,,,n insuficiente
50129526,1,,,n insuficiente
50129528,2,,,n insuficiente
50129530,1,,,n insuficiente
50129532,1,,,n insuficiente
50129533,1,,,n insuficiente
50129534,1,,,n insuficiente
50129536,1,,,n insuficiente
50129537,3,,,n insuficiente
50129540,1,,,n insuficiente
50129541,1,,,n insuficiente
50129545,1,,,n insuficiente
50129546,3,,,n insuficiente
50129547,1,,,n insuficiente
50129548,2,,,n insuficiente
50129551,1,,,n insuficiente
50129552,1,,,n insuficiente
50129555,3,,,n insuficiente
50129567,4,,,n insuficiente
50129568,4,,,n insuficiente
50129569,8,,,n insuficiente
50129595,3,,,n insuficiente
50129596,4,,,n insuficiente
50129597,2,,,n insuficiente
50129598,5,,,n insuficiente
50129599,2,,,n insuficiente
50129600,4,,,n insuficiente
50129602,3,,,n insuficiente
50129603,4,,,n insuficiente
50129605,2,,,n insuficiente
50129606,5,,,n insuficiente
50129607,3,,,n insuficiente
50129608,3,,,n insuficiente
50129609,3,,,n insuficiente
50129610,4,,,n insuficiente
50129611,8,,,n insuficiente
50129612,2,,,n insuficiente
50129613,5,,,n insuficiente
50129614,1,,,n insuficiente
50129615,1,,,n insuficiente
50129618,2,,,n insuficiente
50129619,3,,,n insuficiente
50129620,4,,,n insuficiente
50129621,2,,,n insuficiente
50129622,4,,,n insuficiente
50129624,3,,,n insuficiente
50129625,3,,,n insuficiente
50129626,2,,,n insuficiente
50129627,4,,,n insuficiente
50129628,2,,,n insuficiente
50129629,2,,,n insuficiente
50129630,4,,,n insuficiente
