SKU,n_observaciones,r2,beta_precio,estatus
50125488,13,,,precio constante
50125489,11,,,n insuficiente
50125490,6,,,n insuficiente
50125515,4,,,n insuficiente
50126035,1,,,n insuficiente
50127209,1,,,n insuficiente
50127221,4,,,n insuficiente
50127225,1,,,n insuficiente
50127238,2,,,n insuficiente
50127239,1,,,n insuficiente
50127241,1,,,n insuficiente
50127242,3,,,n insuficiente
50127244,1,,,n insuficiente
50127250,1,,,n insuficiente
50127252,1,,,n insuficiente
50127253,1,,,n insuficiente
50127589,1,,,n insuficiente
50127590,2,,,n insuficiente
50127597,1,,,n insuficiente
50127609,1,,,n insuficiente
50127617,1,,,n insuficiente
50127625,1,,,n insuficiente
50127722,2,,,n insuficiente
50127723,1,,,n insuficiente
50127724,2,,,n insuficiente
50127725,1,,,n insuficiente
50127726,2,,,n insuficiente
50127727,1,,,n insuficiente
50127734,1,,,n insuficiente
50127739,1,,,n insuficiente
50127743,1,,,n insuficiente
50127744,3,,,n insuficiente
50127750,1,,,n insuficiente
50127752,1,,,n insuficiente
50127757,1,,,n insuficiente
50127758,1,,,n insuficiente
50127760,3,,,n insuficiente
50127779,1,,,n insuficiente
50127789,1,,,n insuficiente
50127791,1,,,n insuficiente
50127792,1,,,n insuficiente
50127793,1,,,n insuficiente
50127794,1,,,n insuficiente
50127795,1,,,n insuficiente
50127806,1,,,n insuficiente
50127808,1,,,n insuficiente
50127814,1,,,n insuficiente
50127828,1,,,n insuficiente
50127829,1,,,n insuficiente
50127832,1,,,n insuficiente
50127837,1,,,n insuficiente
50127838,2,,,n insuficiente
50127840,2,,,n insuficiente
50127841,2,,,n insuficiente
50127850,7,,,n insuficiente
50127858,5,,,n insuficiente
50127866,2,,,n insuficiente
50127978,1,,,n insuficiente
50127980,1,,,n insuficiente
50127982,1,,,n insuficiente
50127999,1,,,n insuficiente
50128004,1,,,n insuficiente
50128129,1,,,n insuficiente
50128130,1,,,n insuficiente
50128132,2,,,n insuficiente
50128137,1,,,n insuficiente
50128143,1,,,n insuficiente
50128178,3,,,n insuficiente
50128191,1,,,n insuficiente
50128195,1,,,n insuficiente
50128198,1,,,n insuficiente
50128201,1,,,n insuficiente
50128204,1,,,n insuficiente
50128206,1,,,n insuficiente
50128209,1,,,n insuficiente
50128213,3,,,n insuficiente
50128214,2,,,n insuficiente
50128242,2,,,n insuficiente
50128244,1,,,n insuficiente
50128282,1,,,n insuficiente
50128356,3,,,n insuficiente
50128369,5,,,n insuficiente
50128608,1,,,n insuficiente
50130396,1,,,n insuficiente
50130410,1,,,n insuficiente
50130847,3,,,n insuficiente
50131038,25,,,precio constante
50131078,15,,,precio constante
50131079,2,,,n insuficiente
50131094,7,,,n insuficiente
50131103,13,,,precio constante
50131159,5,,,n insuficiente
50131169,10,,,n insuficiente
50131176,1,,,n insuficiente
50131345,8,,,n insuficiente
50131346,5,,,n insuficiente
50131694,1,,,n insuficiente
50131719,2,,,n insuficiente
50131837,1,,,n insuficiente
50131838,1,,,n insuficiente
50131839,2,,,n insuficiente
50131841,1,,,n insuficiente
50131859,2,,,n insuficiente
50131860,1,,,n insuficiente
50131861,1,,,n insuficiente
50131862,2,,,n insuficiente
50131886,3,,,n insuficiente
50131887,1,,,n insuficiente
50131891,2,,,n insuficiente
50131895,2,,,n insuficiente
50131897,1,,,n insuficiente
50131898,1,,,n insuficiente
50131901,1,,,n insuficiente
50131908,2,,,n insuficiente
50131911,1,,,n insuficiente
50131922,1,,,n insuficiente
50131923,2,,,n insuficiente
50131924,1,,,n insuficiente
50131929,1,,,n insuficiente
50131930,1,,,n insuficiente
50131933,3,,,n insuficiente
50131956,8,,,n insuficiente
50132006,1,,,n insuficiente
50132010,1,,,n insuficiente
50132015,2,,,n insuficiente
50132022,1,,,n insuficiente
50132030,1,,,n insuficiente
50132044,1,,,n insuficiente
50132048,1,,,n insuficiente
50132149,1,,,n insuficiente
50132150,1,,,n insuficiente
50132151,1,,,n insuficiente
50132152,1,,,n insuficiente
50132153,2,,,n insuficiente
50132166,1,,,n insuficiente
50132168,1,,,n insuficiente
50132169,2,,,n insuficiente
50132174,1,,,n insuficiente
50132179,1,,,n insuficiente
50132181,1,,,n insuficiente
50132183,1,,,n insuficiente
50132185,1,,,n insuficiente
50132191,1,,,n insuficiente
50132194,1,,,n insuficiente
50132200,1,,,n insuficiente
50132203,2,,,n insuficiente
50132288,2,,,n insuficiente
50132289,1,,,n insuficiente
50132315,2,,,n insuficiente
50132352,1,,,n insuficiente
50132353,1,,,n insuficiente
50132475,1,,,n insuficiente
50132486,1,,,n insuficiente
50132516,1,,,n insuficiente
50132566,1,,,n insuficiente
50132573,1,,,n insuficiente
50132575,1,,,n insuficiente
50132579,1,,,n insuficiente
50132585,1,,,n insuficiente
50132593,1,,,n insuficiente
50132601,1,,,n insuficiente
50132602,1,,,n insuficiente
50132612,1,,,n insuficiente
50132613,1,,,n insuficiente
50132622,1,,,n insuficiente
50132625,1,,,n insuficiente
50132627,3,,,n insuficiente
50132629,2,,,n insuficiente
50132631,1,,,n insuficiente
50132635,2,,,n insuficiente
50132636,1,,,n insuficiente
50132850,1,,,n insuficiente
50132851,1,,,n insuficiente
50132861,2,,,n insuficiente
50132863,1,,,n insuficiente
50132865,1,,,n insuficiente
50132868,1,,,n insuficiente
50132869,1,,,n insuficiente
50132870,1,,,n insuficiente
50132877,1,,,n insuficiente
50132969,1,,,n insuficiente
50133274,1,,,n insuficiente
50133280,1,,,n insuficiente
50133283,1,,,n insuficiente
50133286,2,,,n insuficiente
50133292,1,,,n insuficiente
50134351,1,,,n insuficiente
50134352,1,,,n insuficiente
50134353,1,,,n insuficiente
50134566,6,,,n insuficiente
50134578,4,,,n insuficiente
50134579,6,,,n insuficiente
50134580,4,,,n insuficiente
50134588,7,,,n insuficiente
50134597,4,,,n insuficiente
50135041,1,,,n insuficiente
50135075,2,,,n insuficiente
50135613,1,,,n insuficiente
50135614,1,,,n insuficiente
50135615,2,,,n insuficiente
50135616,1,,,n insuficiente
50135758,1,,,n insuficiente
50135759,2,,,n insuficiente
50136213,1,,,n insuficiente
50136217,1,,,n insuficiente
50136227,1,,,n insuficiente
50136646,1,,,n insuficiente
50136780,1,,,n insuficiente
50136890,1,,,n insuficiente
50137948,1,,,n insuficiente
50137950,1,,,n insuficiente
50137952,1,,,n insuficiente
50137959,1,,,n insuficiente
50137960,1,,,n insuficiente
