variable,coeficiente,abs_coeficiente
fechas_venta,0.7306616655913403,0.7306616655913403
subdept_nm_CAJAS,0.5450606910663526,0.5450606910663526
margen,-0.3232189529444722,0.3232189529444722
store_nbr_T024,0.24019774919631115,0.24019774919631115
store_nbr_T073,0.20310384351304828,0.20310384351304828
store_nbr_T067,-0.1469548855496406,0.1469548855496406
store_nbr_T066,-0.14580434451280377,0.14580434451280377
store_nbr_T055,-0.12405032892392734,0.12405032892392734
store_nbr_T059,0.12285636917444204,0.12285636917444204
store_nbr_T041,0.11899797233162301,0.11899797233162301
store_nbr_T088,-0.11334297951910732,0.11334297951910732
store_nbr_T086,-0.10913334816033865,0.10913334816033865
store_nbr_T056,-0.10570751223747331,0.10570751223747331
store_nbr_T083,0.09901699000222157,0.09901699000222157
store_nbr_T046,-0.09806458731431594,0.09806458731431594
store_nbr_T033,0.09727935840984998,0.09727935840984998
store_nbr_T016,-0.09381481487054388,0.09381481487054388
store_nbr_T030,0.09336901636787126,0.09336901636787126
store_nbr_T036,0.0927312355219609,0.0927312355219609
store_nbr_T047,-0.09221063692445906,0.09221063692445906
store_nbr_T081,0.08907179878330168,0.08907179878330168
store_nbr_T082,-0.08831684271347362,0.08831684271347362
store_nbr_T013,-0.0856694844106026,0.0856694844106026
store_nbr_T018,0.08228264590535227,0.08228264590535227
store_nbr_T037,-0.08164929901747499,0.08164929901747499
store_nbr_T019,-0.07885863441324818,0.07885863441324818
store_nbr_T045,-0.07679009303626882,0.07679009303626882
store_nbr_T054,0.07596840935060307,0.07596840935060307
ln_costo_unitario,-0.07440212190824999,0.07440212190824999
subdept_nm_FOLDERS COLGANTES,0.07363773672148585,0.07363773672148585
store_nbr_T026,-0.06938756149639301,0.06938756149639301
store_nbr_T085,-0.06873982303721358,0.06873982303721358
subdept_nm_ETIQUETAS,0.06840897721832256,0.06840897721832256
store_nbr_T007,-0.06824753932213781,0.06824753932213781
store_nbr_T002,0.06757997086754297,0.06757997086754297
store_nbr_T015,-0.057802448353450324,0.057802448353450324
store_nbr_T028,0.05679547561550511,0.05679547561550511
store_nbr_T058,-0.0557316064813633,0.0557316064813633
store_nbr_T043,0.05434974178493343,0.05434974178493343
store_nbr_T053,-0.0531230479538866,0.0531230479538866
store_nbr_T070,-0.052750927321758234,0.052750927321758234
store_nbr_T061,-0.05263151300612193,0.05263151300612193
store_nbr_T040,-0.052268377719817224,0.052268377719817224
store_nbr_T038,-0.05157565163730112,0.05157565163730112
store_nbr_T014,-0.05068049361148112,0.05068049361148112
store_nbr_T050,0.04983671917147882,0.04983671917147882
store_nbr_T079,0.04881719398396303,0.04881719398396303
store_nbr_T005,0.04880484060228529,0.04880484060228529
store_nbr_T006,0.047910999017007135,0.047910999017007135
store_nbr_T010,0.04694396492600145,0.04694396492600145
store_nbr_T023,0.046117240483256924,0.046117240483256924
store_nbr_T052,-0.042931120186875976,0.042931120186875976
ln_precio,0.041420041909466465,0.041420041909466465
store_nbr_T075,0.041216085565273786,0.041216085565273786
store_nbr_T080,-0.04054848318524534,0.04054848318524534
store_nbr_T051,0.03925622649338117,0.03925622649338117
store_nbr_T071,-0.039185290971231745,0.039185290971231745
store_nbr_T032,0.03903952042556018,0.03903952042556018
store_nbr_T022,-0.03570719180609974,0.03570719180609974
store_nbr_T008,-0.03562373474233086,0.03562373474233086
subdept_nm_TARJETAS Y TARJETEROS,-0.03241659850045117,0.03241659850045117
store_nbr_T063,0.03219547811069671,0.03219547811069671
store_nbr_T031,-0.031722877673326474,0.031722877673326474
store_nbr_T087,-0.029455264038627523,0.029455264038627523
store_nbr_T064,0.028422029032119028,0.028422029032119028
store_nbr_T034,0.027229344269896084,0.027229344269896084
store_nbr_T057,0.027172271038007394,0.027172271038007394
store_nbr_T062,-0.026726613837517683,0.026726613837517683
store_nbr_T020,0.026714687060943883,0.026714687060943883
store_nbr_T039,0.026291173344306466,0.026291173344306466
store_nbr_T027,0.023517387780488553,0.023517387780488553
store_nbr_T035,-0.023008198044151544,0.023008198044151544
store_nbr_T021,0.022352103407326462,0.022352103407326462
store_nbr_T077,-0.022079222563166297,0.022079222563166297
store_nbr_T048,0.018833376704028466,0.018833376704028466
store_nbr_T060,-0.018670753416726665,0.018670753416726665
store_nbr_T049,-0.0179724297180266,0.0179724297180266
store_nbr_T044,0.0163173742410241,0.0163173742410241
store_nbr_T069,0.015950269087785997,0.015950269087785997
store_nbr_T078,0.01388057936436763,0.01388057936436763
store_nbr_T017,-0.01300530614939785,0.01300530614939785
store_nbr_T076,0.011519584494812798,0.011519584494812798
store_nbr_T025,0.011358346687010863,0.011358346687010863
store_nbr_T074,-0.01107500675139754,0.01107500675139754
store_nbr_T068,0.008813501630081606,0.008813501630081606
store_nbr_T004,0.008031719833828721,0.008031719833828721
store_nbr_T065,-0.007648319574734393,0.007648319574734393
store_nbr_T009,-0.006493893062069406,0.006493893062069406
store_nbr_T011,0.005858241768346539,0.005858241768346539
store_nbr_T042,-0.005222570840983242,0.005222570840983242
subdept_nm_FOLDERS,0.004502678719848469,0.004502678719848469
store_nbr_T012,0.0044384945747720506,0.0044384945747720506
anio,0.004419873413233799,0.004419873413233799
mes_num,-0.002311579884857716,0.002311579884857716
tipo_marca_Marca Propia,0.0022229839381327776,0.0022229839381327776
store_nbr_T072,-0.001447646428050904,0.001447646428050904
