variable,coeficiente,abs_coeficiente
fechas_venta,0.6714575607049947,0.6714575607049947
store_nbr_T024,0.6676709469249629,0.6676709469249629
subdept_nm_REGISTRADORES,0.4172832707488492,0.4172832707488492
store_nbr_T036,0.25013124249033997,0.25013124249033997
store_nbr_T030,0.22804741451153548,0.22804741451153548
subdept_nm_PLANEADORES Y AGENDAS,-0.20616407161666378,0.20616407161666378
store_nbr_T047,0.2022417283457048,0.2022417283457048
subdept_nm_PADFOLIOS Y TARJETEROS,-0.20090259118941375,0.20090259118941375
store_nbr_T088,-0.18578300779725776,0.18578300779725776
subdept_nm_TABLAS SUJETA DOCUMENTOS,-0.1678712204334672,0.1678712204334672
subdept_nm_PROTECTORES,-0.16161753100663964,0.16161753100663964
store_nbr_T006,0.1602512366505699,0.1602512366505699
store_nbr_T020,0.16012422454719288,0.16012422454719288
store_nbr_T064,0.14835273750537464,0.14835273750537464
store_nbr_T055,0.1464315784510741,0.1464315784510741
store_nbr_T085,0.13923497067605034,0.13923497067605034
store_nbr_T082,0.13673027241835403,0.13673027241835403
store_nbr_T037,0.1359896529499704,0.1359896529499704
store_nbr_T016,0.1349786244986534,0.1349786244986534
store_nbr_T034,0.13310686676575428,0.13310686676575428
store_nbr_T059,0.12770868511028222,0.12770868511028222
store_nbr_T002,0.1273969134498293,0.1273969134498293
store_nbr_T032,0.12529093825252882,0.12529093825252882
subdept_nm_SEPARADORES,-0.12403286977756309,0.12403286977756309
store_nbr_T062,0.12296115115387554,0.12296115115387554
store_nbr_T077,0.11780129139615769,0.11780129139615769
store_nbr_T068,0.11511193669559237,0.11511193669559237
store_nbr_T025,0.11074804515673,0.11074804515673
store_nbr_T039,0.10986730065925149,0.10986730065925149
store_nbr_T040,0.10731443367735079,0.10731443367735079
store_nbr_T066,0.10649829949811686,0.10649829949811686
store_nbr_T050,0.10249813859601395,0.10249813859601395
store_nbr_T033,0.10036842061619948,0.10036842061619948
store_nbr_T076,0.09212776995525901,0.09212776995525901
margen,-0.09007244491974482,0.09007244491974482
store_nbr_T009,0.08696003544377605,0.08696003544377605
store_nbr_T012,0.08594689596055792,0.08594689596055792
store_nbr_T017,0.08412870647892637,0.08412870647892637
store_nbr_T041,0.08217947523329922,0.08217947523329922
store_nbr_T031,0.07784553629290245,0.07784553629290245
store_nbr_T051,0.07783464555730149,0.07783464555730149
store_nbr_T053,0.07692763898098626,0.07692763898098626
store_nbr_T048,0.07571287326761178,0.07571287326761178
