SKU,n_observaciones,r2,beta_precio,estatus
50137083,7,,,n insuficiente
50137084,1,,,n insuficiente
50137086,1,,,n insuficiente
50137087,4,,,n insuficiente
50137088,1,,,n insuficiente
50137404,2,,,n insuficiente
50137590,1,,,n insuficiente
50137592,1,,,n insuficiente
50137593,1,,,n insuficiente
50137609,1,,,n insuficiente
50137611,1,,,n insuficiente
50137623,1,,,n insuficiente
50137639,1,,,n insuficiente
