SKU,n_observaciones,r2,beta_precio,estatus
50123164,2,,,n insuficiente
50123166,3,,,n insuficiente
50123169,1,,,n insuficiente
50123171,20,,,precio constante
50123172,4,,,n insuficiente
50123173,6,,,n insuficiente
50123174,11,,,n insuficiente
50123175,12,,,precio constante
50123909,3,,,n insuficiente
50124831,6,,,n insuficiente
50125181,17,,,precio constante
50125182,8,,,n insuficiente
50125183,31,,,precio constante
50125188,35,,,precio constante
50125189,54,,,precio constante
50125193,18,,,precio constante
50125194,70,,,precio constante
50125195,25,,,precio constante
50125196,16,,,precio constante
50125197,17,,,precio constante
50125199,17,,,precio constante
50125201,64,,,precio constante
50125202,28,,,precio constante
50125204,32,,,precio constante
50125205,32,,,precio constante
50125206,2,,,n insuficiente
50125207,32,,,precio constante
50125209,13,,,precio constante
50125212,13,,,precio constante
50125215,9,,,n insuficiente
50125216,12,,,precio constante
50125217,15,,,precio constante
50125218,55,,,precio constante
50125219,58,,,precio constante
50125220,64,,,precio constante
50125221,63,,,precio constante
50125224,10,,,n insuficiente
50125225,22,,,precio constante
50125226,24,,,precio constante
50125227,13,,,precio constante
50125456,23,,,precio constante
50125457,31,,,precio constante
50125460,21,,,precio constante
50125477,21,,,precio constante
50125497,11,,,n insuficiente
50125502,36,,,precio constante
50125506,31,,,precio constante
50127653,21,,,precio constante
50127654,4,,,n insuficiente
50128074,8,,,n insuficiente
50128075,8,,,n insuficiente
50128267,18,,,precio constante
50128270,9,,,n insuficiente
50128271,4,,,n insuficiente
50128912,5,,,n insuficiente
50130584,1,,,n insuficiente
50130788,1,,,n insuficiente
50130859,6,,,n insuficiente
50130940,17,,,precio constante
50130941,20,,,precio constante
50130943,17,,,precio constante
50130944,19,,,precio constante
50130945,17,,,precio constante
50130946,12,,,precio constante
50130948,9,,,n insuficiente
50130949,9,,,n insuficiente
50130950,15,,,precio constante
50130951,25,,,precio constante
50130952,20,,,precio constante
50130953,27,,,precio constante
50131061,26,,,precio constante
50131066,17,,,precio constante
50131067,22,,,precio constante
50131069,27,,,precio constante
50131080,31,,,precio constante
50131106,8,,,n insuficiente
50131131,21,,,precio constante
50131140,19,,,precio constante
50131141,14,,,precio constante
50131172,6,,,n insuficiente
50131449,1,,,n insuficiente
50131599,1,,,n insuficiente
50131601,1,,,n insuficiente
50131603,1,,,n insuficiente
50131607,2,,,n insuficiente
50131696,12,,,precio constante
50131697,4,,,n insuficiente
50131698,9,,,n insuficiente
50131700,2,,,n insuficiente
50131709,5,,,n insuficiente
50131710,7,,,n insuficiente
50131711,6,,,n insuficiente
50131713,1,,,n insuficiente
50131851,3,,,n insuficiente
50132071,1,,,n insuficiente
50132072,3,,,n insuficiente
50132073,2,,,n insuficiente
50132078,5,,,n insuficiente
50132079,7,,,n insuficiente
50132080,6,,,n insuficiente
50132310,3,,,n insuficiente
50132765,2,,,n insuficiente
50133130,1,,,n insuficiente
50133131,3,,,n insuficiente
50134324,3,,,n insuficiente
50134600,7,,,n insuficiente
50134607,14,,,precio constante
50134609,11,,,n insuficiente
50134611,11,,,n insuficiente
50134616,14,,,precio constante
50135038,1,,,n insuficiente
50135039,2,,,n insuficiente
50135040,2,,,n insuficiente
50135077,2,,,n insuficiente
