variable,coeficiente,abs_coeficiente
fechas_venta,0.6923451118279504,0.6923451118279504
subdept_nm_REGISTRADORES,0.5202644634597877,0.5202644634597877
subdept_nm_CAJAS,0.45269836059178825,0.45269836059178825
store_nbr_T024,0.3613833306167464,0.3613833306167464
subdept_nm_HOJAS PARA CARPETAS,0.19628904424675994,0.19628904424675994
subdept_nm_PLANEADORES Y AGENDAS,-0.19116584470677922,0.19116584470677922
subdept_nm_PADFOLIOS Y TARJETEROS,-0.15472931965543438,0.15472931965543438
margen,-0.12909945627754985,0.12909945627754985
dept_nm_SUMINISTROS DE OFICINA,-0.1195208972395208,0.1195208972395208
subdept_nm_ENMICADO Y ENGARGOLADO,0.11820432738948713,0.11820432738948713
subdept_nm_TARJETAS Y TARJETEROS,-0.11577874918874938,0.11577874918874938
subdept_nm_CUBIERTAS PARA REPORTES,0.11374823358402275,0.11374823358402275
store_nbr_T088,-0.11015008378131395,0.11015008378131395
subdept_nm_ARCHIVO,-0.09907231624430238,0.09907231624430238
store_nbr_T036,0.09754565601170717,0.09754565601170717
subdept_nm_LAPICERAS Y ESTUCHES,-0.09718517283014041,0.09718517283014041
subdept_nm_FORROS,0.09327757467968378,0.09327757467968378
store_nbr_T064,0.08573616671542333,0.08573616671542333
subdept_nm_FOLDERS,-0.08522989177548708,0.08522989177548708
subdept_nm_PROTECTORES,-0.08059510765076301,0.08059510765076301
store_nbr_T002,0.07939015690112479,0.07939015690112479
store_nbr_T020,0.07728871371241412,0.07728871371241412
store_nbr_T030,0.07599326892432928,0.07599326892432928
subdept_nm_MARCATEXTOS,-0.07584700693130364,0.07584700693130364
dept_nm_ARTICULOS ESCOLARES,-0.07445549486038197,0.07445549486038197
subdept_nm_TABLAS SUJETA DOCUMENTOS,-0.0708205396218371,0.0708205396218371
dept_nm_CARPETAS,0.07018826536820622,0.07018826536820622
subdept_nm_TIJERAS,-0.06704046295984377,0.06704046295984377
subdept_nm_LAPICES DE COLORES,0.06664077206961774,0.06664077206961774
subdept_nm_PLUMAS Y LAPICEROS FINOS,-0.06490729177534821,0.06490729177534821
store_nbr_T059,0.06233045231538081,0.06233045231538081
store_nbr_T018,0.06083971092962421,0.06083971092962421
store_nbr_T056,-0.059969016178647284,0.059969016178647284
store_nbr_T033,0.057935419329752935,0.057935419329752935
store_nbr_T051,0.05763534700132156,0.05763534700132156
store_nbr_T068,0.05623594471196075,0.05623594471196075
store_nbr_T032,0.055677774973354896,0.055677774973354896
store_nbr_T047,0.05560640615370813,0.05560640615370813
store_nbr_T006,0.05375044266675822,0.05375044266675822
subdept_nm_LIGAS,-0.05309259173181302,0.05309259173181302
store_nbr_T086,-0.04819646789963363,0.04819646789963363
ln_costo_unitario,-0.04338940419689458,0.04338940419689458
store_nbr_T076,0.042980404063910196,0.042980404063910196
store_nbr_T041,0.04276220875560789,0.04276220875560789
subdept_nm_MARCADORES,-0.04160729847882595,0.04160729847882595
store_nbr_T039,0.04150130636514304,0.04150130636514304
store_nbr_T043,0.03785997474362256,0.03785997474362256
store_nbr_T083,0.03727809843060089,0.03727809843060089
store_nbr_T085,0.03718457629718412,0.03718457629718412
store_nbr_T046,-0.03636810498378575,0.03636810498378575
store_nbr_T007,-0.036301415645453895,0.036301415645453895
store_nbr_T080,-0.03400792031652507,0.03400792031652507
subdept_nm_PERFORADORAS,-0.03396321106474762,0.03396321106474762
subdept_nm_SACAPUNTAS,-0.033677406969899876,0.033677406969899876
store_nbr_T028,0.03306771583993375,0.03306771583993375
store_nbr_T023,0.032474540051569425,0.032474540051569425
store_nbr_T082,0.03202592410872098,0.03202592410872098
store_nbr_T034,0.03145371951844694,0.03145371951844694
store_nbr_T040,0.03132299199596936,0.03132299199596936
store_nbr_T070,-0.031232259102122215,0.031232259102122215
subdept_nm_CRAYONES,-0.03062675509371618,0.03062675509371618
subdept_nm_FLAUTAS,-0.030607252588398248,0.030607252588398248
store_nbr_T031,0.0301659871187753,0.0301659871187753
store_nbr_T050,0.029308749858883723,0.029308749858883723
store_nbr_T017,0.02707305473853599,0.02707305473853599
subdept_nm_BLOCKS,0.026615309370128237,0.026615309370128237
store_nbr_T074,0.02596486921452764,0.02596486921452764
store_nbr_T067,-0.02509480096805396,0.02509480096805396
store_nbr_T025,0.025067831474778705,0.025067831474778705
store_nbr_T037,0.023073429987887598,0.023073429987887598
store_nbr_T065,-0.022976448210421597,0.022976448210421597
subdept_nm_LIBRETAS EJECUTIVAS,-0.021967467689005885,0.021967467689005885
